,Project Number,Purchase Type,Remote Net Metering,Affordable Solar,Community Distributed Generation
17160,4369-20850,,,No,No
17161,4355-47415,Purchase,No,No,No
17162,4116-64168,Purchase,No,No,No
17163,4116-24943,,,No,No
17164,4376-0301-Financing,Purchase,No,No,No
17165,4170-20097,,,No,No
17166,4116-33260,Purchase,,No,No
17167,4154-53955-GJ,Purchase,No,No,No
17168,4493-22519,,,No,No
17169,4183-67658-GJ,Purchase,No,No,No
17170,4124-038,,,No,No
17171,4154-80031,Purchase,No,No,No
17172,4502-61494-GJ,Purchase,No,No,No
17173,4433-58479,Purchase,No,No,No
17174,4355-58333-GJ,Purchase,No,No,No
17175,4354-69138-GJ,Purchase,No,No,No
17176,4147-102091,Purchase,No,No,No
17177,4362-24022,Power Purchase Agreement,,No,No
17178,4533-52469,Purchase,No,No,No
17179,02095-025,,,No,No
17180,4355-67917-GJ,Purchase,No,No,No
17181,4304-20017,,,No,No
17182,4208-017,,,No,No
17183,4147-48016,Purchase,No,No,No
17184,4154-81438,Purchase,No,No,No
17185,4170-139,,,No,No
17186,4633-101703,Purchase,,No,No
17187,4611-95886,Purchase,No,No,No
17188,4443-77140,Power Purchase Agreement,,No,No
17189,4629-81634-GJ,Purchase,No,No,No
17190,4116-42408,Purchase,No,No,No
17191,4116-096,,,No,No
17192,4473-54796,Purchase,No,No,No
17193,4354-31058,Purchase,,No,No
17194,4283-65119,Purchase,No,No,No
17195,4609-34757,Purchase,No,No,No
17196,4170-154,,,No,No
17197,4376-65102,Purchase,No,No,No
17198,4362-43835,Purchase,No,No,No
17199,4611-65237,Purchase,No,No,No
17200,4160-68243,Purchase,No,No,No
17201,4243-27863,Purchase,,No,No
17202,4548-36327,Power Purchase Agreement,No,No,No
17203,4502-54944-GJ,Purchase,No,No,No
17204,4355-54221-GJ,Purchase,No,No,No
17205,4119-20487,,,No,No
17206,4116-25321,,,No,No
17207,4493-27952,Lease,,No,No
17208,4355-75573-GJ,Purchase,No,No,No
17209,4280-28390,Purchase,,No,No
17210,4154-61487-GJ,Purchase,No,No,No
17211,4627-91719,Purchase,No,No,No
17212,4116-57952,Purchase,No,No,No
17213,4643-30893,Lease,,No,No
17214,4627-50181,Purchase,No,No,No
17215,4373-62422,Purchase,No,No,No
17216,4355-92108-GJ,Purchase,No,No,No
17217,4202-68518,Purchase,No,No,No
17218,4354-97039,Purchase,No,No,No
17219,4633-48715,Purchase,No,No,No
17220,4473-46224-GJ,Purchase,No,No,No
17221,4627-33895,Purchase,No,No,No
17222,4156-42852,Purchase,No,No,No
17223,4354-73084,Purchase,No,No,No
17224,4635-25903,,,No,No
17225,4283-28927,Purchase,,No,No
17226,4161-20538,,,No,No
17227,4533-67450,Purchase,No,No,No
17228,4629-48923-GJ,Purchase,No,No,No
17229,4533-102454,Purchase,No,No,No
17230,4260-29458,Purchase,,No,No
17231,4502-34748,Purchase,No,No,No
17232,4629-78690,Lease,No,No,No
17233,4116-83631,Purchase,No,No,No
17234,4629-93587-GJ,Purchase,No,No,No
17235,4362-36119,Power Purchase Agreement,No,No,No
17236,4555-66636,Purchase,No,No,No
17237,4533-86275,Purchase,No,No,No
17238,4354-62327-GJ,Purchase,No,No,No
17239,4443-59953,Purchase,No,No,No
17240,4116-94643,Purchase,No,No,No
17241,4149-001,,,No,No
17242,4493-24873,,,No,No
17243,4116-66837,Purchase,No,No,No
17244,4533-67161,Purchase,No,No,No
17245,4202-33319,Purchase,,No,No
17246,4116-43369,Purchase,No,No,No
17247,4301-27346,Purchase,,No,No
17248,4548-100379,Purchase,No,No,No
17249,4243-60983-GJ,Purchase,No,No,No
17250,4404-28747,Purchase,,No,No
17251,4362-24159,Power Purchase Agreement,,No,No
17252,4473-65847,Purchase,No,No,No
17253,4355-79204-GJ,Purchase,No,No,No
17254,4635-63620,Purchase,No,No,No
17255,4630-46741,Purchase,No,No,No
17256,4564-61932-GJ,Purchase,No,No,No
17257,4147-85807,Purchase,No,No,No
17258,4116-49502,Purchase,No,No,No
17259,4473-32129,Purchase,,No,No
17260,4116-29480,Lease,,No,No
17261,4502-33221,Purchase,,No,No
17262,4643-26791,Lease,,No,No
17263,4355-59996-GJ,Purchase,No,No,No
17264,4611-30459,Purchase,,No,No
17265,4611-48995,Purchase,No,No,No
17266,4585-76063,Purchase,,No,No
17267,4340-38459,Purchase,No,No,No
17268,4170-22882,,,No,No
17269,4376-48100,Purchase,No,No,No
17270,4116-33879,Purchase,No,No,No
17271,4355-0156-Financing,Purchase,No,No,No
17272,4154-77053-GJ,Purchase,No,No,No
17273,4629-54580-GJ,Purchase,No,No,No
17274,4533-76165,Purchase,No,No,No
17275,4116-59098,Purchase,No,No,No
17276,4116-40558,Purchase,No,No,No
17277,4433-63316-GJ,Purchase,No,No,No
17278,4158-126,,,No,No
17279,4340-76115,Purchase,No,No,No
17280,4376-87459-GJ,Purchase,No,No,No
17281,4564-57173,Purchase,No,No,No
17282,4116-169,,,No,No
17283,4135-36116,Purchase,No,No,No
17284,4376-53914-GJ,Purchase,No,No,No
17285,4629-89568-GJ,Purchase,No,No,No
17286,4627-68819,Purchase,No,No,No
17287,4362-27310,Power Purchase Agreement,,No,No
17288,4643-27313,Lease,,No,No
17289,4630-81704,Purchase,No,No,No
17290,4630-60868,Purchase,No,No,No
17291,4211-85516,Purchase,No,No,No
17292,4355-64867-GJ,Purchase,No,No,No
17293,4548-56282,Power Purchase Agreement,Yes,No,No
17294,4533-90687,Purchase,No,No,No
17295,4148-19738,,,No,No
17296,4633-97506,Purchase,No,No,No
17297,4281-39326,Purchase,No,No,No
17298,4362-41090,Power Purchase Agreement,No,No,No
17299,4473-39062,Purchase,No,No,No
17300,4281-72147,Purchase,No,No,No
17301,4116-79801,Purchase,No,No,No
17302,4594-22852,,,No,No
17303,4355-53763-GJ,Purchase,No,No,No
17304,4443-93084,Purchase,No,No,No
17305,4555-79183,Purchase,No,No,No
17306,4611-22334,,,No,No
17307,4116-26447,,,No,No
17308,4116-37024,Purchase,No,No,No
17309,4274-001,,,No,No
17310,4154-62571-GJ,Purchase,No,No,No
17311,4590-79896,Purchase,No,No,No
17312,4611-21986,,,No,No
17313,4594-76987,Purchase,No,No,No
17314,4154-67686 GJ,Purchase,No,No,No
17315,4369-26774,,,No,No
17316,4183-60815,Purchase,No,No,No
17317,4147-34729,Purchase,No,No,No
17318,4550-94181,Purchase,No,No,No
17319,4633-81736,Purchase,No,No,No
17320,4533-77203,Purchase,No,No,No
17321,4362-34282,Purchase,No,No,No
17322,4355-55946-GJ,Purchase,No,No,No
17323,4533-63130,Purchase,No,No,No
17324,4355-92779-GJ,Purchase,No,No,No
17325,4362-33254,Purchase,,No,No
17326,4564-83131,Purchase,No,No,No
17327,4408-20326,,,No,No
17328,4594-82216,Purchase,No,No,No
17329,4433-53324,Purchase,No,No,No
17330,4235-25809,,,No,No
17331,4160-53039,Purchase,No,No,No
17332,4473-100884,Purchase,No,Yes,No
17333,4548-69427,Purchase,No,No,No
17334,4247-36944,Purchase,No,No,No
17335,4116-101513,Purchase,,No,No
17336,4354-95852,Purchase,No,No,No
17337,4354-72448-GJ,Purchase,No,No,No
17338,4611-34960,Purchase,No,No,No
17339,4116-22428,,,No,No
17340,4533-99243,Purchase,No,No,No
17341,4493-27169,Purchase,,No,No
17342,4533-35504,Purchase,Yes,No,No
17343,4323-28540,Purchase,,No,No
17344,4224-23001,,,No,No
17345,4154-90469-GJ,Purchase,No,No,No
17346,4422-65089-GJ,Purchase,No,No,No
17347,4156-90629,Purchase,No,No,No
17348,4376-69231-GJ,Purchase,No,No,No
17349,4354-85751,Purchase,No,No,No
17350,4170-015,,,No,No
17351,4354-76489-GJ,Purchase,No,No,No
17352,4473-97273,Purchase,No,No,No
17353,4533-69424,Purchase,No,No,No
17354,4202-25241,,,No,No
17355,4154-54846-GJ,Purchase,No,No,No
17356,4643-31081,Lease,,No,No
17357,4362-35634,Power Purchase Agreement,,No,No
17358,4548-31442,Power Purchase Agreement,,No,No
17359,4594-53398-GJ,Purchase,No,No,No
17360,4301-48504,Purchase,No,No,No
17361,4158-012,,,No,No
17362,4443-87220,Purchase,No,No,No
17363,4354-49435,Purchase,No,No,No
17364,4493-28340,Purchase,,No,No
17365,4629-99727,Purchase,,No,No
17366,4354-48254-GJ,Purchase,No,No,No
17367,4473-42853,Purchase,No,No,No
17368,4533-85527,Purchase,No,No,No
17369,4633-84085,Purchase,No,No,No
17370,4116-88381,Purchase,No,No,No
17371,4116-069,,,No,No
17372,4116-35473,Purchase,No,No,No
17373,4362-37570,Power Purchase Agreement,,No,No
17374,4502-46518-GJ,Purchase,No,No,No
17375,4147-023,,,No,No
17376,4355-46982-GJ,Purchase,No,No,No
17377,4493-38952,Purchase,No,No,No
17378,4629-84286-GJ,Purchase,No,No,No
17379,4116-46956-GJ,Purchase,No,No,No
17380,4116-37293,Purchase,No,No,No
17381,4362-38245,Power Purchase Agreement,,No,No
17382,4473-88731,Purchase,No,No,No
17383,4354-19926,,,No,No
17384,4578-23349,,,No,No
17385,4154-47718-GJ,Purchase,No,No,No
17386,4376-43065-GJ,Purchase,No,No,No
17387,4170-29283,Purchase,,No,No
17388,4362-36994,Power Purchase Agreement,No,No,No
17389,4633-30334,Purchase,,No,No
17390,4495-27105,Purchase,,No,No
17391,4376-96347-GJ,Purchase,No,No,No
17392,4635-42807,Purchase,No,No,No
17393,4116-37841,Purchase,No,No,No
17394,4355-73619-GJ,Purchase,No,No,No
17395,4548-90253,Purchase,No,No,No
17396,4116-20091,,,No,No
17397,4354-75518-GJ,Purchase,No,No,No
17398,4533-80765,Purchase,No,No,No
17399,4564-24282,,,No,No
17400,4354-76494-GJ,Purchase,No,No,No
17401,4202-23972,,,No,No
17402,4493-51536,Purchase,No,No,No
17403,4117-36510,Purchase,No,No,No
17404,4354-73629-GJ,Purchase,No,No,No
17405,4548-23762,Power Purchase Agreement,,No,No
17406,4633-94090,Purchase,No,No,No
17407,4604-28072,Purchase,,No,No
17408,4154-72949,Purchase,No,No,No
17409,4116-22711,,,No,No
17410,4635-37038,Purchase,No,No,No
17411,4548-85568,Purchase,No,No,No
17412,4354-23257,,,No,No
17413,4627-34703,Purchase,No,No,No
17414,4355-94866,Purchase,No,No,No
17415,4116-56143,Purchase,No,No,No
17416,4635-32815,Purchase,,No,No
17417,4493-29221,Purchase,,No,No
17418,4362-76574-GJ,Purchase,No,No,No
17419,4183-002-1-NFI,,,No,No
17420,4202-21008,,,No,No
17421,4443-102419,Purchase,No,No,No
17422,4643-33066,Lease,,No,No
17423,4502-72749-GJ,Purchase,No,No,No
17424,4533-76154,Purchase,No,No,No
17425,4643-28414,Lease,,No,No
17426,4116-46330,Purchase,No,No,No
17427,4493-29305,Lease,,No,No
17428,4533-62351,Purchase,No,No,No
17429,4355-47298,Purchase,No,No,No
17430,4147-013,,,No,No
17431,4473-31041,Purchase,,No,No
17432,4362-64899,Power Purchase Agreement,,No,No
17433,4443-36701,Purchase,No,No,No
17434,4575-51576,Purchase,,No,No
17435,4376-26535,,,No,No
17436,4256-001,,,No,No
17437,4422-71526,Purchase,No,No,No
17438,4584-28758,Purchase,,No,No
17439,4355-55945,Purchase,No,No,No
17440,4202-42093,Purchase,No,No,No
17441,4611-100250,Purchase,No,No,No
17442,4493-50179,Purchase,No,No,No
17443,4633-38955,Purchase,No,No,No
17444,4154-78712-GJ,Purchase,No,No,No
17445,4135-054,,,No,No
17446,4116-68082,Purchase,No,No,No
17447,4158-20764,,,No,No
17448,4154-78815-GJ,Purchase,No,No,No
17449,4116-29231,Lease,,No,No
17450,4247-98711,Purchase,No,No,No
17451,4116-76257,Purchase,,No,No
17452,4116-149,,,No,No
17453,4604-50558,Purchase,No,No,No
17454,4629-87436,Purchase,,No,No
17455,4355-80055-GJ,Purchase,No,No,No
17456,4119-67438,Purchase,No,No,No
17457,4609-19229,,,No,No
17458,4629-0250-Financing,Purchase,No,No,No
17459,4238-27981,Purchase,,No,No
17460,4154-65741,Purchase,No,No,No
17461,4116-40804,Purchase,No,No,No
17462,4355-89171-GJ,Purchase,No,No,No
17463,4611-67612,Purchase,No,No,No
17464,4154-63155,Purchase,No,No,No
17465,4158-141,,,No,No
17466,4116-102037,Purchase,,No,No
17467,4333-19301,,,No,No
17468,4548-56294,Power Purchase Agreement,,No,No
17469,4354-68715,Purchase,No,No,No
17470,4362-64089,Power Purchase Agreement,,No,No
17471,4156-40847,Purchase,No,No,No
17472,4355-94878-GJH,Purchase,No,No,No
17473,4161-21060,,,No,No
17474,4376-76392YY,Purchase,No,No,No
17475,4116-26446,,,No,No
17476,4643-28484,Power Purchase Agreement,,No,No
17477,4643-28409,Power Purchase Agreement,,No,No
17478,4354-71881-GJ,Purchase,No,No,No
17479,4354-61056,Purchase,No,No,No
17480,4117-43570,Purchase,No,No,No
17481,4629-48248-GJ,Purchase,No,No,No
17482,4354-69659-GJ,Purchase,No,No,No
17483,4247-73626,Purchase,No,No,No
17484,4464-65618,Purchase,No,No,No
17485,4548-27588-AG,Power Purchase Agreement,,No,No
17486,4202-19740,,,No,No
17487,4429-22575,,,No,No
17488,4355-60486,Purchase,No,No,No
17489,4555-76671-GJ,Purchase,No,No,No
17490,4629-56737,Purchase,No,No,No
17491,4149-76667-GJ,Purchase,No,No,No
17492,4493-26235,,,No,No
17493,4375-19474,,,No,No
17494,4116-101,,,No,No
17495,4116-100248,Purchase,No,No,No
17496,4323-20592,,,No,No
17497,4629-79509YY,Purchase,No,No,No
17498,4116-150,,,No,No
17499,4354-35632,Purchase,No,No,No
17500,4630-81699,Purchase,No,No,No
17501,4493-43442,Purchase,No,No,No
17502,4564-51202,Purchase,No,No,No
17503,4643-33732,Lease,No,No,No
17504,4533-88168,Purchase,No,No,No
17505,4533-57294,Purchase,No,No,No
17506,4116-36295,Power Purchase Agreement,No,No,No
17507,4533-79003,Purchase,No,No,No
17508,4355-62544-GJ,Purchase,No,No,No
17509,4627-39534,Purchase,No,No,No
17510,4362-38118,Power Purchase Agreement,,No,No
17511,4362-35785,Power Purchase Agreement,,No,No
17512,4548-33157,Power Purchase Agreement,,No,No
17513,4301-40562,Purchase,No,No,No
17514,4362-48426,Purchase,No,No,No
17515,4629-96369-GJ,Purchase,,No,No
17516,4502-39900,Purchase,No,No,No
17517,4643-32240,Lease,,No,No
17518,4493-26597,,,No,No
17519,4548-49588,Power Purchase Agreement,Yes,No,No
17520,4611-24129,,,No,No
17521,4224-30015,Purchase,,No,No
17522,4643-31990,Lease,,No,No
17523,4493-52176,Lease,No,No,No
17524,4170-20160,,,No,No
17525,4147-72759,Purchase,No,No,No
17526,4564-37036,Purchase,No,No,No
17527,4362-35749,Power Purchase Agreement,,No,No
17528,4116-61528,Purchase,No,No,No
17529,4202-28338,Purchase,,No,No
17530,4473-43576-GJ,Purchase,No,No,No
17531,4548-49590,Power Purchase Agreement,,No,No
17532,4260-26695,Purchase,,No,No
17533,4211-40445,Purchase,No,No,No
17534,4170-086,,,No,No
17535,4355-69131-GJ,Purchase,No,No,No
17536,4604-97241,Purchase,No,No,No
17537,4156-71515,Purchase,No,No,No
17538,4154-53018,Purchase,No,No,No
17539,4116-26662,Purchase,,No,No
17540,4116-99936,Purchase,No,No,No
17541,4375-21101,,,No,No
17542,4443-46509,Purchase,No,No,No
17543,4116-59452,Purchase,No,No,No
17544,4533-95647,Purchase,No,No,No
17545,4156-62659,Purchase,No,No,No
17546,4170-175,,,No,No
17547,4555-79628,Purchase,No,No,No
17548,4154-56749-GJ,Purchase,No,No,No
17549,4224-27980,Purchase,,No,No
17550,4154-92869-GJ,Purchase,,No,No
17551,4564-52502,Purchase,No,No,No
17552,4502-46251,Purchase,No,No,No
17553,4507-27489,Purchase,,No,No
17554,4493-57875-GJ,Purchase,No,No,No
17555,4170-19580,,,No,No
17556,4502-41964-GJ,Purchase,No,No,No
17557,4117-054,,,No,No
17558,4611-69122,Purchase,No,No,No
17559,4564-24860,,,No,No
17560,4281-28725,Purchase,,No,No
17561,4635-54511,Purchase,No,No,No
17562,4611-91570,Power Purchase Agreement,No,No,No
17563,4594-55546,Purchase,No,No,No
17564,4354-97521,Purchase,No,No,No
17565,4493-48547,Lease,No,No,No
17566,4116-131,,,No,No
17567,4149-24753,,,No,No
17568,4156-33913,Purchase,No,No,No
17569,4116-20699,,,No,No
17570,4548-21424,Purchase,,No,No
17571,4548-62357,Purchase,No,No,No
17572,4116-102818,Purchase,,No,No
17573,4564-45053,Purchase,No,No,No
17574,4635-70848,Purchase,No,No,No
17575,4376-26741,Purchase,,No,No
17576,4548-96175,Purchase,No,No,No
17577,4170-055,,,No,No
17578,4627-76235,Purchase,No,No,No
17579,4260-97664,Purchase,No,No,No
17580,4147-39711,Purchase,No,No,No
17581,4116-27714,Purchase,,No,No
17582,4493-31805,Lease,,No,No
17583,4116-87149,Purchase,No,No,No
17584,4611-26907,Purchase,,No,No
17585,4355-86592-GJ,Purchase,No,No,No
17586,4156-66593,Purchase,No,No,No
17587,4158-127,,,No,No
17588,4629-61858,Purchase,No,No,No
17589,4611-44295,Purchase,No,No,No
17590,4116-005,,,No,No
17591,4355-48091-GJ,Purchase,No,No,No
17592,4473-40564-GJ,Purchase,No,No,No
17593,4355-0362-Financing,Purchase,No,No,No
17594,4260-22365,,,No,No
17595,4585-30469,Purchase,,No,No
17596,4629-77035-GJ,Purchase,No,No,No
17597,4493-34350,Purchase,No,No,No
17598,4377-003,,,No,No
17599,4119-31039,Purchase,,No,No
17600,4354-31376,Purchase,,No,No
17601,4362-32224,Purchase,,No,No
17602,4355-75572-GJ,Purchase,No,No,No
17603,4281-31149,Purchase,,No,No
17604,4604-34798,Purchase,No,No,No
17605,4643-24748,Purchase,,No,No
17606,4548-71468,Purchase,No,No,No
17607,4202-94132,Purchase,Yes,No,No
17608,4533-66108,Purchase,No,No,No
17609,4473-75410,Purchase,No,No,No
17610,4183-70745,Purchase,No,No,No
17611,4116-71527,Purchase,No,No,No
17612,4247-101824,Purchase,No,No,No
17613,4493-41156,Purchase,No,No,No
17614,4306-83274,Purchase,No,No,No
17615,4124-058,,,No,No
17616,4369-30146,Purchase,,No,No
17617,4376-56923-GJ,Purchase,No,No,No
17618,4116-88883,Purchase,No,No,No
17619,4116-21676,,,No,No
17620,4629-77701-GJ,Purchase,No,No,No
17621,4183-67081,Purchase,No,No,No
17622,4116-45104-GJ,Purchase,No,No,No
17623,4355-58707,Lease,No,No,No
17624,4247-67667,Purchase,No,No,No
17625,4627-29861,Purchase,,No,No
17626,4533-80747,Purchase,No,No,No
17627,4183-101669,Purchase,Yes,No,No
17628,4376-83848,Purchase,No,No,No
17629,4170-037,,,No,No
17630,4439-29123,Purchase,,No,No
17631,4154-63458-GJ,Purchase,No,No,No
17632,4154-0043-Financing,Purchase,No,No,No
17633,4564-47388,Purchase,No,No,No
17634,4355-58878-GJ,Purchase,No,No,No
17635,4643-29986,Power Purchase Agreement,,No,No
17636,4355-73384,Lease,No,No,No
17637,4206-20442,,,No,No
17638,4117-43505,Purchase,No,No,No
17639,4260-41281,Purchase,No,No,No
17640,4498-46863,Purchase,No,No,No
17641,4376-52992-GJ,Purchase,No,No,No
17642,4376-92195-GJH,Purchase,No,No,No
17643,4354-69867,Purchase,No,No,No
17644,4376-92119-GJ,Purchase,No,No,No
17645,4362-38582,Purchase,Yes,No,No
17646,4465-22720,,,No,No
17647,4260-68673,Purchase,No,No,No
17648,4116-30802,Purchase,,No,No
17649,4247-20474,,,No,No
17650,4376-32931,Purchase,,No,No
17651,4521-85507,Purchase,No,No,No
17652,4548-25724,Power Purchase Agreement,,No,No
17653,4629-84202-GJ,Purchase,No,No,No
17654,4493-42856,Purchase,No,No,No
17655,4590-57593,Purchase,No,No,No
17656,4376-89459-GJ,Purchase,No,No,No
17657,4116-31107,Purchase,,No,No
17658,02033-029,,,No,No
17659,4643-29110,Lease,,No,No
17660,4604-30834,Purchase,,No,No
17661,4116-23435,,,No,No
17662,4493-39719,Purchase,No,No,No
17663,4433-60915-GJ,Purchase,No,No,No
17664,4116-084,,,No,No
17665,4180-19947,,,No,No
17666,4156-19348,,,No,No
17667,4170-24869,,,No,No
17668,4355-67036-GJ,Purchase,No,No,No
17669,4154-48058-GJ,Purchase,No,No,No
17670,4355-79217-GJ,Purchase,No,No,No
17671,4124-057,,,No,No
17672,4635-66007,Purchase,No,No,No
17673,4170-010,,,No,No
17674,4507-19866,,,No,No
17675,4533-96799,Purchase,No,Yes,No
17676,4116-19739,,,No,No
17677,4362-48022,Power Purchase Agreement,,No,No
17678,4643-29924,Power Purchase Agreement,,No,No
17679,4255-35086,Purchase,No,No,No
17680,4154-86605,Lease,No,No,No
17681,4158-144,,,No,No
17682,4629-92962-GJYY,Purchase,No,No,No
17683,4158-036,,,No,No
17684,4373-92245,Purchase,No,No,No
17685,4643-30348,Power Purchase Agreement,,No,No
17686,4147-58101-GJ,Purchase,No,No,No
17687,4238-23666,,,No,No
17688,4533-77162,Purchase,No,No,No
17689,4402-22105,,,No,No
17690,4255-42097,Purchase,No,No,No
17691,4521-71195,Purchase,No,No,No
17692,4533-87156,Purchase,No,No,No
17693,4548-81890,Purchase,No,No,No
17694,4443-99246,Purchase,No,No,No
17695,4376-0129-Financing,Purchase,No,No,No
17696,4375-23019,,,No,No
17697,4183-21134,,,No,No
17698,4635-30641,Purchase,,No,No
17699,4235-59317,Purchase,No,No,No
17700,4355-50627,Purchase,No,No,No
17701,4119-009,,,No,No
17702,4533-61733,Purchase,No,No,No
17703,4493-27545,Purchase,,No,No
17704,4493-33114,Purchase,,No,No
17705,4376-47185,Purchase,No,No,No
17706,4355-93806-GJ,Purchase,No,No,No
17707,4633-40499,Purchase,No,No,No
17708,4643-33282,Lease,,No,No
17709,4643-30264,Power Purchase Agreement,,No,No
17710,4554-46151,Purchase,No,No,No
17711,4156-36837,Purchase,No,No,No
17712,4473-35088,Purchase,No,No,No
17713,4170-22062,,,No,No
17714,4533-71203,Purchase,No,No,No
17715,4534-20800,,,No,No
17716,4354-68805,Purchase,No,No,No
17717,4493-30627,Lease,,No,No
17718,4493-42919,Purchase,No,No,No
17719,4139-015,,,No,No
17720,4493-44240,Lease,No,No,No
17721,4473-59787-GJ,Purchase,No,No,No
17722,4443-32133,Purchase,,No,No
17723,4173-002,,,No,No
17724,4643-32472,Lease,Yes,No,No
17725,4611-57326-GJ,Purchase,No,No,No
17726,4426-102082,Purchase,No,No,No
17727,4355-84362-GJ,Purchase,No,No,No
17728,4281-26877,,,No,No
17729,4493-27799,Lease,,No,No
17730,4158-116,,,No,No
17731,4555-76479,Purchase,No,No,No
17732,4635-94247,Purchase,No,No,No
17733,4611-44296,Purchase,No,No,No
17734,4116-23082,,,No,No
17735,4548-76660-GJ,Purchase,No,No,No
17736,4376-80074,Purchase,No,No,No
17737,4124-012,,,No,No
17738,4376-0321-Financing,Purchase,No,No,No
17739,4493-38824,Purchase,No,No,No
17740,4533-58652,Purchase,No,No,No
17741,4533-86010,Purchase,No,Yes,No
17742,4116-68084,Purchase,No,No,No
17743,4376-77681-GJ,Purchase,No,No,No
17744,4585-64683,Purchase,No,No,No
17745,4119-31912,Purchase,,No,No
17746,4635-28374,Purchase,,No,No
17747,4502-81810,Purchase,No,No,No
17748,4533-79123,Purchase,No,No,No
17749,4206-017,,,No,No
17750,4647-22793,,,No,No
17751,4375-19650,,,No,No
17752,4158-078,,,No,No
17753,4533-88436,Purchase,No,No,No
17754,4521-33672,Purchase,No,No,No
17755,4354-36923,Purchase,No,No,No
17756,4611-54335,Purchase,No,No,No
17757,4161-20536,,,No,No
17758,4355-66297-GJ,Purchase,No,No,No
17759,4473-53294-GJ,Purchase,No,No,No
17760,4147-83231,Purchase,No,No,No
17761,4160-69550,Purchase,No,No,No
17762,4301-61696-GJ,Purchase,No,No,No
17763,4548-23885,Power Purchase Agreement,,No,No
17764,4611-31790,Purchase,,No,No
17765,4373-68765,Purchase,No,No,No
17766,4533-60300,Purchase,No,No,No
17767,4183-69119,Purchase,No,No,No
17768,4116-22710,,,No,No
17769,4362-47911,Power Purchase Agreement,Yes,No,No
17770,4643-30889,Lease,,No,No
17771,4170-058,,,No,No
17772,4643-31595,Lease,,No,No
17773,4375-29832,Power Purchase Agreement,,No,No
17774,4158-19412,,,No,No
17775,4376-60347-GJ,Purchase,No,No,No
17776,4116-88197,Purchase,No,No,No
17777,4116-20500,,,No,No
17778,4116-29208,Lease,,No,No
17779,4627-29445,Purchase,,No,No
17780,4578-23551,,,No,No
17781,4635-25078,,,No,No
17782,4116-010,,,No,No
17783,4260-48990,Purchase,No,No,No
17784,4376-60390-GJ,Purchase,No,No,No
17785,4635-67616,Purchase,No,No,No
17786,4355-96538-GJ,Purchase,No,No,No
17787,4443-45112,Purchase,No,No,No
17788,4473-47074-GJ,Purchase,No,No,No
17789,4116-52064,Purchase,No,No,No
17790,4384-41474,Purchase,No,No,No
17791,4555-56240,Purchase,No,No,No
17792,4116-20740,,,No,No
17793,4202-86114,Purchase,No,No,No
17794,4354-86970,Purchase,No,No,No
17795,4354-34239,Purchase,No,No,No
17796,4564-48273,Purchase,No,No,No
17797,4333-21933,,,No,No
17798,4116-067,,,No,No
17799,4362-38073,Power Purchase Agreement,,No,No
17800,4533-52817,Purchase,No,No,No
17801,4116-25905,,,No,No
17802,4493-40403-GJ,Purchase,No,No,No
17803,4611-34800,Purchase,No,No,No
17804,4175-004,,,No,No
17805,4181-009,,,No,No
17806,02006-017,,,No,No
17807,4244-20668,,,No,No
17808,4548-31659,Purchase,,No,No
17809,4175-017,,,No,No
17810,4355-61507-GJ,Purchase,No,No,No
17811,4116-132,,,No,No
17812,4555-87369,Purchase,No,No,No
17813,4643-31898,Lease,,No,No
17814,4643-31463,Lease,,No,No
17815,4627-46093,Purchase,No,No,No
17816,4116-30935,Lease,,No,No
17817,4362-24156,Power Purchase Agreement,,No,No
17818,4247-22703,,,No,No
17819,4355-56847-GJ,Purchase,No,No,No
17820,4116-52677,Purchase,No,No,No
17821,4629-0146-Financing,Purchase,No,No,No
17822,4116-28088,Purchase,,No,No
17823,4309-25032,,,No,No
17824,4247-78913,Purchase,No,No,No
17825,02033-008,,,No,No
17826,4183-76106,Purchase,No,No,No
17827,4158-066,,,No,No
17828,4376-94633,Purchase,No,No,No
17829,4521-52474,Purchase,No,No,No
17830,4629-53647-GJ,Purchase,No,No,No
17831,4170-155,,,No,No
17832,4548-99519,Purchase,No,No,No
17833,4154-48051,Purchase,No,No,No
17834,4373-99597,Purchase,No,No,No
17835,4633-51590,Purchase,No,No,No
17836,4493-23886,,,No,No
17837,4376-53769-GJ,Purchase,No,No,No
17838,4170-158,,,No,No
17839,4643-30261,Lease,,No,No
17840,4323-79469,Purchase,No,No,No
17841,4281-72669-GJ,Purchase,No,No,No
17842,4355-0037-Financing,Purchase,No,No,No
17843,4635-66718,Purchase,No,No,No
17844,02029-006,,,No,No
17845,4443-61686-GJ,Purchase,No,No,No
17846,4355-77682-GJ,Purchase,No,No,No
17847,4260-41625,Purchase,No,No,No
17848,4594-50157,Lease,No,No,No
17849,4493-22278,,,No,No
17850,4355-90869,Purchase,No,No,No
17851,4116-36891,Lease,No,No,No
17852,4355-68962-GJ,Purchase,No,No,No
17853,4250-62048,Purchase,No,No,No
17854,4260-70123-GJ,Purchase,No,No,No
17855,4594-51466,Purchase,No,No,No
17856,4548-34132,Power Purchase Agreement,No,No,No
17857,4154-71588,Purchase,No,No,No
17858,4433-62668,Purchase,No,No,No
17859,4355-53971,Purchase,No,No,No
17860,4643-32108,Lease,,No,No
17861,4355-94034,Purchase,No,No,No
17862,4604-66768,Purchase,No,No,No
17863,4116-22166,,,No,No
17864,4502-38666,Purchase,No,No,No
17865,4116-31137,Purchase,,No,No
