$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
49200,9.84,11551
16578,5.52,6480
3603.27,8.09,9490
3633.43,6.9,8099
2632.14,5.61,6585
3051.68,6.38,7483
4050.27,10.6,12443
8510,3.44,4038
10867,6.21,7290
30971,9.25,10858
17500,13,15260
21384,4.75,5576
3649.47,6.63,7783
1610,0.92,1080
17500,10.14,11899
13500,3,3522
13734,7.85,9212
36000,7.2,8452
5880,3.36,3944
6094.37,7.5,8804
8580,2.29,2688
33810,9.66,11339
17500,13,15260
26334,7.52,8827
19404,5.54,6503
31825,9.9,11621
3129.8,7.14,8381
13551.63,10.72,12584
12160,3.04,3568
4764.58,10.6,12443
1987.71,3.57,4191
15207.29,20.4,23946
49950,9.99,11727
3024,3.36,3944
50000,11.52,13523
18787.5,5.01,5881
11672.5,6.67,7830
3813.51,7.42,8710
6000.61,8.23,9655
28175,8.05,9449
12600,7.2,8452
10080,5.76,6761
28175,8.05,9449
16000,16,18781
9156,5.23,6142
25760,7.36,8639
3773.22,10,11738
2458.18,4.85,5687
31850,24.5,28759
8266.38,5.56,6525
31050,10.35,12149
18375,5.25,6163
4891.25,2.8,3281
8820,5.04,5916
12600,7.2,8452
2590.62,4.85,5687
4505.53,10.46,12272
17500,10.14,11899
60000,10.08,11832
15172.5,8.67,10177
2183.37,4.59,5388
3079.09,5.89,6909
23625,6.75,7923
3340.72,5.94,6973
21075,6.08,7137
4478.77,9.95,11674
11700,7.8,9156
4951.09,3.68,4314
6904.45,4.16,4883
10300,4.2,4930
5852.04,12.01,14092
4345.36,9.75,11445
21600,4.8,5634
3838.94,7.75,9097
2989.38,6.12,7184
13037,7.5,8804
17500,10.14,11903
44213.26,26.5,31107
19950,5.7,6691
2412.02,4.25,4989
10080,5.76,6761
7840,5.28,6198
6422.23,13.26,15565
1577.65,5.39,6327
3879.86,8.67,10177
2625.09,5.5,6456
12075,6.9,8099
1948.95,4.17,4889
20160,3.36,3944
1322.04,2.7,3163
33687.5,9.63,11304
5107.38,10.46,12272
2233.16,5.36,6286
11331.25,6.48,7601
5266.35,10.72,12584
17500,10,11738
6480,4.32,5071
1863,1.62,1902
1745.8,4,4695
