$Incentive,Total Nameplate kW DC,Expected KWh Annual Production
5310,5.31,6233
12589.5,7.19,8445
35000,10.12,11879
12250,7.2,8452
47424,9.98,11715
3349.47,7.4,8681
1826.12,4.59,5388
17280,3.84,4508
35000,10.12,11879
21952,6.27,7360
37500,10,11738
4510.83,13,15260
32200,9.2,10799
4097.85,8.18,9596
137500,50.76,59584
15901,10,11738
17604.8,13.78,16176
8861.42,7,8217
17500,11.7,13734
20000,8.1,9508
3118.33,8.16,9579
1839.01,4.34,5089
6207.02,13.78,16176
10010,5.72,6714
164815,46.61,54707
16100,4.6,5400
2246.04,5.61,6585
13860,7.92,9297
5776.73,13.08,15354
6160,6.16,7231
15910,4.6,5400
17482.5,9.99,11727
7122.5,4.07,4778
12862.5,7.35,8628
6661.35,9.16,10748
11563.91,9.89,11603
2829.82,6,7043
5763.22,12.75,14970
34912.5,9.98,11715
1994.47,5.36,6286
17500,11.2,13147
15120,9.37,10994
10953.01,10.46,12283
49350,28.2,33102
13992,8.48,9954
50400,8.4,9860
21262.5,6.08,7137
45000,10,11738
7835.29,6.12,7184
2301.05,5.25,6163
14400,2.4,2817
4906.26,9.69,11375
17280,2.88,3381
6085.51,12.19,14309
99000,24.75,29053
26520,8.17,9590
20000,8.4,9860
8820,5.04,5916
23345,6.67,7830
27000,7.2,8452
8212.75,4.69,5509
26460,7.56,8874
12250,8.64,10142
107120,34.85,40908
19110,5.46,6409
11200,3.2,3756
80640,20.16,23665
4256.91,9.31,10928
42997.5,24.57,28841
3509.59,6.89,8082
4358.64,8.42,9878
5133.84,3.84,4508
3780.81,8.58,10066
13982.5,7.99,9379
4195.49,7.84,9203
12000,2,2348
4449.14,9.24,10846
1915.73,4.34,5089
2274,5.61,6585
40950,23.4,27468
18600,13,15260
1582.84,3,3522
4087.3,3.92,4601
87318,49.9,58570
3590.52,7.91,9279
21840,5.82,6832
2580.15,5.1,5987
6600,18,21129
11206.81,10.35,12149
3891.6,4.23,4965
5225.56,9.3,10917
8011.5,4.58,5374
1930.89,3.83,4490
22640,5.04,5916
225000,145.2,170442
6760,6.76,7935
3845.93,3.43,4026
46080,7.68,9015
25760,7.36,8639
2749.11,5.88,6902
6750,4.5,5282
3290,0.94,1103
15050,4.3,5048
12672,3.2,3756
14800,5.4,6339
6012.09,14.28,16762
4636.9,3.6,4226
47500,10,11738
3024,3.36,3944
14000,4,4695
4570.64,9.69,11375
6300,3.6,4226
37500,10,11738
4101.78,4.86,5705
10080,5.76,6761
6540,6.54,7677
3272.05,7.14,8381
11100,2.22,2606
11812.5,6.75,7923
4678.74,8.58,10072
1980,0.33,387
4666.93,10,11738
3818.24,8.67,10177
6825,3.9,4578
4814.71,10.2,11973
28800,6.4,7513
2850.22,6.12,7184
1536.19,2.75,3228
130000,103.28,121228
37500,10.02,11762
3220,1.61,1890
3293.72,6.16,7231
9800,7.2,8452
14577.5,8.33,9778
12017.25,6.87,8061
28350,8.1,9508
23700,4.74,5564
24024,6.86,8053
10350,9,10565
8750,5.4,6339
37440,9.98,11715
3985.29,7.5,8804
10920,5.46,6409
2057.73,4.41,5177
4867.63,9.86,11574
6900,6.9,8099
26565,7.59,8909
8397.82,5.3,6221
2493.24,4.9,5752
12525,3.34,3921
14957.25,9.07,10641
21600,4.32,5071
3600,1.2,1409
24150,6.9,8099
34500,9.2,10799
2728.12,6.25,7337
4235.75,9,10565
13720,7.84,9203
4359.2,10.79,12667
35000,10.75,12621
6101.73,7.65,8980
10937.5,6.25,7337
2057.46,4.16,4883
5406.54,11.77,13818
18200,10.4,12208
4020.21,8.91,10459
4732.47,10.5,12325
45000,9,10565
39936,9.98,11715
4018.35,8.25,9684
26730,5.94,6973
2870.17,7.25,8510
17500,10.35,12149
25740,6.86,8053
26746,8.6,10095
1659.74,3.57,4191
6020,3.44,4038
3875.91,8.67,10177
1793.91,3.83,4490
25112.5,7.18,8428
12880,3.68,4320
11462.5,6.55,7689
15225,9.28,10893
15015,8.58,10072
5349.59,11.99,14068
8050,4.6,5400
17440.87,11.2,13147
45000,10.12,11879
13860,7.92,9297
3426.87,6.75,7923
130880,110.88,130155
3343.04,7.15,8393
20000,10.13,11885
17500,10.6,12443
2993.75,6.38,7483
15246,4.36,5118
4008.71,9.18,10776
2952.61,6.63,7783
2940.34,6.86,8053
2398.08,5.1,5987
22680,6.05,7102
8820,5.04,5916
3182.08,7.5,8804
3602.01,7.83,9191
87500,50,58692
3648.94,6.63,7783
20825,5.95,6984
8695.77,7.85,9212
20160,20.16,23665
3255.35,7.35,8628
10300.5,5.89,6909
9030,5.16,6057
10500,7.2,8452
2957.61,6.89,8088
14850,2.97,3486
10500,2.8,3287
3779.85,7.14,8381
2118.61,4.59,5388
10260,25.65,30109
28595,8.17,9590
5365.3,9.99,11727
8460,4.23,4965
2970.85,7.65,8980
7095,2.58,3029
7502.57,6.13,7190
12862.5,7.35,8628
1321.05,3,3522
16502.5,9.43,11069
18000,4.5,5282
6600,15.7,18425
14280,4.08,4789
9660,5.52,6480
28175,8.05,9449
4445.01,8.1,9508
6600,16.8,19721
18375,4.9,5752
6539.15,10,11738
2309.84,5.36,6286
1937.89,4.59,5388
25200,6.3,7395
2043.6,3.18,3733
9984,12.48,14650
17500,20.27,23798
8531.3,2.28,2676
19237.5,5.13,6022
11200,3.2,3756
30598,10.12,11879
40000,10.13,11885
20295,7.38,8663
4095,2.34,2747
50000,10.08,11832
30576,8.74,10259
17500,10.35,12149
10353,7.14,8381
35000,10.25,12032
15400,4.4,5165
24300,6.48,7606
16908.8,4.51,5294
12600,7.2,8452
9298.28,6.54,7677
13243.5,8.83,10364
12750,3.4,3991
11445,6.54,7677
4288.87,9.69,11375
36750,14.7,17255
3393.53,7,8217
7325,9.16,10748
35000,10.12,11879
4462.5,2.55,2993
17325,4.95,5811
15380.49,11.77,13818
3908.82,7.48,8780
2736.94,5.87,6885
3479.12,9.18,10776
4815.81,11.5,13499
17500,10,11738
3536.84,8.09,9490
17500,10.81,12689
17167.5,9.81,11515
12187.73,9.28,10893
20552,5.18,6085
106750,21.35,25061
6458.17,12.54,14720
30852.5,8.82,10353
18018,5.15,6045
20160,4.48,5259
137280,49.92,58598
17280,2.88,3381
35552,10.37,12173
11700,7.8,9156
5040,2.88,3381
7560,4.32,5071
4605.5,8.99,10553
18900,4.2,4930
2635.24,6.38,7483
3111.13,6.5,7630
9825.18,6.63,7783
2513.51,4.77,5599
8452.5,4.83,5670
2085.99,3.75,4402
17500,10.11,11862
17500,10.08,11832
15125,5.5,6456
4368.59,9.01,10576
6867,4.58,5374
6081.54,13.52,15864
7465.17,5.39,6327
35000,10.12,11879
1443.06,2.94,3451
7902.7,7.84,9203
3688.12,8.16,9579
29840,8.28,9719
4304.01,5.5,6456
39520,9.88,11598
8910,9.9,11621
25000,10.05,11791
9971.58,7.68,9015
95040,47.52,55781
9030,5.16,6057
22500,15.66,18382
2347.84,4.59,5388
16800,9.6,11269
17167.5,9.81,11515
1647.78,3.83,4490
8640,5.76,6761
41040,9.12,10705
19950,7.98,9367
52734,19.18,22510
35000,10.4,12208
14600,12.76,14978
146870,51.87,60887
18060,5.16,6057
18018,5.15,6045
17710,5.06,5940
37500,10,11738
8050,4.6,5400
3729.25,8.42,9878
8750,5.4,6339
1929.78,4.32,5071
5505.24,10.92,12818
31395,8.97,10529
13600,6.8,7982
2810.07,7.14,8381
2445.44,6.5,7630
24937.5,6.65,7806
7122.5,4.07,4778
25200,6.72,7888
3234.25,6.75,7923
1977.04,5.15,6039
11270,3.22,3780
9711.9,5.89,6909
12935.38,9.81,11515
37773,38.28,44935
8295.39,6.75,7923
1875.59,3.83,4496
4018.55,5,5869
9870,5.64,6620
2866.62,7.4,8681
20813,34.01,39920
13734,7.85,9212
14280,8.16,9579
3491.31,9.44,11075
2641.01,6.38,7483
3890.62,9.95,11674
2688.11,5.5,6456
5910.25,13.48,15817
3676.08,8.42,9878
8750,5.16,6057
12600,5.04,5916
17280,2.88,3381
23630,6.21,7290
4394.85,9.56,11216
23000,6,7043
8820,5.04,5916
37555,21.46,25191
8050,4.6,5400
4590,3.06,3592
3479.87,6.89,8082
3098.43,6.63,7783
1555.06,3.5,4108
8079.75,6,7043
26460,7.56,8874
2352.12,6,7043
1240.53,4,4695
162292,99.79,117140
12941.25,7.4,8681
4398.05,6.13,7190
20790,7.56,8874
2237.06,3.92,4601
3986.19,3.19,3739
3695.01,7.65,8980
10939.5,8.42,9878
11515,6.58,7724
28206,9.45,11093
15800,20.88,24510
23630,6.21,7290
26565,7.59,8909
28380,14.19,16657
13800,5.52,6480
35000,10.08,11832
6251.63,13.77,16164
69300,46.2,54231
12337.5,7.05,8276
30200,8.4,9860
3962.67,9.69,11375
11683.34,8.58,10072
4340.75,10.2,11973
7717.5,4.41,5177
3964.27,8.42,9878
5083.86,12,14086
15120,4.32,5071
34650,9.9,11621
9025,1.9,2230
23760,5.94,6973
8273.33,7.2,8452
4107.37,7.4,8681
13818,5.64,6620
17290,4.94,5799
19760,4.16,4883
22575,6.45,7571
17500,10.4,12208
29767.5,9.03,10600
16800,4.8,5634
16297.23,10.05,11797
9441.28,7.2,8452
35000,10.07,11821
12005,6.86,8053
6415.99,11.66,13687
13702.5,7.83,9191
18144,5.18,6080
16555,9.46,11105
4721.59,10.14,11903
7560,4.32,5071
10920,6.24,7325
31200,10.4,12208
2213.5,3.43,4026
4378.02,9.9,11621
2946.91,5.23,6142
2359.13,4.34,5089
35000,10.13,11885
10710,6.12,7184
12285,7.02,8240
7958.65,6.24,7325
5101.67,8,9391
17500,10,11738
11576.25,6.62,7765
8662.5,3.15,3698
10125,4.5,5282
16187.5,9.25,10858
9065,5.18,6080
17500,10.2,11973
11280,5.64,6620
33075,9.45,11093
8750,8.4,9860
5492.58,11.7,13734
2645.26,5.36,6286
10210,4.14,4860
16100,4.6,5400
22050,6.3,7395
12138.15,14.04,16481
23000,9.2,10799
4665.6,4.08,4789
4413.36,9.75,11445
17500,10.35,12149
45500,10.2,11973
22540,6.44,7560
4804.55,9.16,10748
27765.23,33.21,38983
4389.32,9.95,11674
35000,10.13,11891
3903.84,8.4,9860
8050,4.6,5400
17500,10.34,12132
8575,4.9,5752
61440,15.36,18030
2317.84,4,4695
4535.98,10.45,12267
1997.34,4.41,5177
35000,10.15,11914
1714.32,3.43,4026
35000,11.04,12959
10080,5.76,6761
2379.23,5.36,6286
17167.5,9.81,11515
33800,33.8,39676
17500,10.14,11899
3084.93,7.14,8381
21700,6.2,7278
1506.07,3.32,3891
50000,10.15,11914
2745.95,6.21,7290
13571.25,7.76,9103
8396.78,8.16,9579
2627.71,3.5,4108
15510,5.64,6620
4848.8,9.81,11515
9125.39,9.36,10987
5819.49,12.42,14579
3339,5.57,6532
35000,10.12,11879
6000,2.4,2817
5072.22,9.36,10987
28000,8,9391
13637.07,9.45,11093
18375,5.25,6163
19320,5.52,6480
3917.45,7.5,8804
44000,16,18781
36281.3,9.68,11363
14429.25,8.75,10265
3760.49,7.91,9279
17500,10.08,11832
4111.11,8.25,9684
17640,8.82,10353
2030,5.18,6080
11610,3.87,4543
17500,10.11,11862
11812.5,6.75,7923
4805,3.6,4226
31200,10.4,12208
12250,8.64,10142
3832.64,7.42,8710
7840,2.24,2629
16800,4.8,5634
10412.5,2.98,3498
8775,9.75,11445
29300,8.1,9508
9450,5.4,6339
2679.99,5.1,5987
5369.13,12.74,14955
1479.85,3.32,3891
9047.5,5.17,6069
37828,47.29,55505
26460,7.56,8874
34965,7.77,9121
14280,8.16,9579
8820,5.04,5916
3406.91,6,7043
3949.09,7.4,8681
10080,5.76,6761
7055.15,4.5,5282
6157.78,5.25,6163
8011.5,4.58,5374
4188.29,5.22,6127
7425,2.7,3169
6600,15.23,17872
12495,7.14,8381
1763.75,5.1,5987
23355,6.75,7923
2912,3.64,4273
35000,12.15,14262
5732.57,4.9,5752
8233.49,5.76,6761
25200,7.2,8452
3021.31,5.5,6456
64896,49.92,58598
28800,4.8,5634
93600,23.47,27550
3398.79,9.5,11151
5285.59,7,8217
14962.5,8.55,10036
6536.17,12.9,15143
31250,10.35,12149
18000,3,3522
8649.84,11.18,13124
28800,5.76,6761
4047.32,8.48,9954
45000,10,11738
11515,6.58,7724
4877.56,10.25,12032
4508.03,9.01,10576
32287.5,9.23,10835
6229.23,15.81,18558
3054.76,5.75,6750
35000,10.13,11891
12960,5.76,6761
31080,17.76,20847
22540,6.44,7560
7087.5,4.05,4754
26250,7,8217
23760,3.96,4648
17900,12.75,14970
4606.53,8.67,10177
3202.75,6.89,8088
9642.52,9.8,11504
4870.27,5.3,6221
8820,5.04,5916
35000,10.78,12654
2404.28,5.61,6585
17500,10.4,12208
5191.13,6.25,7337
15246,4.36,5118
8865.97,14.49,17009
14490,4.14,4860
12900,6.45,7571
3612.1,8.16,9579
14726.25,8.42,9878
2925.58,7.4,8681
15750,4.5,5282
2847.52,5.75,6750
2131.81,5.75,6750
10200,2.04,2395
15120,8.64,10142
27800,7.6,8921
3597,3.6,4222
2806.54,5.5,6456
35000,10.13,11891
1488.19,2.75,3228
2707.1,5.15,6039
16231.25,9.28,10887
17710,5.06,5940
20480,5.16,6057
4885.9,10.46,12272
13668.75,6.08,7131
3878.91,7.8,9156
37440,9.98,11715
12900,6.45,7571
4417.4,8.4,9860
24150,6.9,8099
18673,12.9,15143
27370,7.82,9179
2521.16,6.38,7483
18000,4.5,5282
19687.5,5.25,6163
6035.66,5.23,6142
14625,4.5,5282
21000,6,7043
2294.09,4.24,4977
34650,9.9,11621
1205.91,2.55,2993
8970.07,6.6,7747
3202.88,5.75,6750
5146.76,13.01,15266
12972.07,9.81,11515
8316,2.38,2789
23900,6.3,7395
9800,2.8,3287
7175,2.05,2406
17500,12.77,14984
15676.19,10.07,11821
25312.5,6.75,7923
3981.12,8.12,9532
25000,10.08,11832
3314.09,8.16,9579
15000,10.46,12283
28595,8.17,9590
18720,4.99,5857
37500,10.33,12126
4437.13,12.24,14368
14322,4.09,4803
13527,3.01,3533
93600,23.47,27550
4073.61,9.95,11674
23100,5.78,6785
7500,7.5,8804
22540,6.44,7560
35000,10.81,12689
4186,5.23,6142
1603.87,3.06,3592
24587.5,9.87,11586
9837.07,7.85,9212
3374.99,7.91,9279
18983.98,13.08,15354
10500,6,7043
29785,8.51,9989
19783.5,7.19,8445
30590,8.74,10259
173512,49.5,58110
10920,6.24,7325
87018.75,49.73,58369
3613.93,7.6,8915
23205,6.63,7783
15482.95,13.73,16122
34300,9.8,11504
9870,5.64,6620
2330.06,4.85,5687
23225,6.08,7131
36000,6,7043
9660,2.76,3240
32000,6.4,7513
2915.97,5.75,6750
27216,7.78,9132
12040,6.88,8076
17500,10.35,12149
1397.71,3.68,4320
10474.46,10.36,12161
4652.64,9.01,10576
3780,1.08,1268
16380,4.68,5494
23100,8.4,9860
2741.41,5.23,6133
7108.67,5.56,6525
23625,6.75,7923
6187.58,19,22303
5460.75,11.77,13818
4511.77,9.95,11674
4428.89,8.42,9878
4430.33,8.69,10201
17902.26,10.56,12396
17325,4.62,5423
3667.22,8.16,9579
3806.54,9,10565
3780,1.26,1479
25200,7.2,8452
3292.29,6.89,8088
16709,9.55,11208
4574.4,10.5,12325
4980.27,11.99,14068
2996.62,7.02,8240
3262.48,6.75,7923
47239.4,13.11,15389
7024.37,5.88,6902
31200,8.32,9766
4516.95,11.48,13470
18600,13.52,15870
14897.65,11.45,13435
8645,4.94,5799
9782.5,5.59,6562
1886.75,4,4695
22540,6.44,7560
18000,4.5,5282
4349.84,9.57,11234
45000,10.08,11832
3268.33,8.93,10477
3888,9.72,11410
5715.16,14.79,17361
30800,8.8,10330
35000,10.15,11914
4786,11.48,13470
2199.11,4.34,5089
27000,9,10565
9117.57,10.64,12490
4578,2.62,3071
8050,4.6,5400
4115.34,8.93,10477
11760,6.72,7888
1771.85,4.34,5089
2198.12,4.08,4789
7705.74,5.88,6902
11880,7.2,8452
5583.71,10.73,12595
30000,8,9391
3917.71,8.93,10477
3832.57,8,9391
2703.85,5.64,6620
4627.44,4,4695
5326.33,4.24,4977
34500,9.2,10799
20000,8.1,9508
36470,10.98,12889
54880,39.2,46015
62000,16.8,19721
22050,6.3,7395
37500,10.47,12290
15225,8.7,10212
5090.45,9.95,11674
27090,7.74,9086
14137.13,10.79,12667
28218.75,16.13,18928
17500,10.12,11879
18200,5.2,6104
87360,49.92,58598
8038.75,6.86,8053
10780,6.16,7231
4369.64,8.33,9778
3270,3.27,3838
18900,5.4,6339
21735,6.21,7290
1402.5,0.37,434
25200,7.2,8452
18816,5.38,6315
3692.52,7.98,9367
5223.95,11.73,13769
16800,4.2,4930
34912.5,9.98,11715
10374,5.93,6959
45200,10.08,11832
2672.01,7.91,9279
11760,6.72,7888
3966.46,8.42,9878
1681.43,3.43,4026
2096,4.68,5494
5631.06,7.5,8804
10911.25,6.24,7319
65548,43.2,50710
3928.88,7.65,8980
3467.54,7.8,9156
3217.69,7.6,8915
11830,6.76,7935
3180,5.3,6221
16731,10.14,11903
4328.14,10.46,12272
28800,4.8,5634
2648.94,5.1,5987
17280,2.88,3381
6772.5,3.87,4543
8050,4.6,5400
1495.03,3.57,4191
11875,5.29,6210
3174.88,8.4,9860
15540,8.88,10424
6600,15.08,17696
2120.99,4.08,4789
5712,1.63,1913
16000,8.64,10142
11760,6.72,7888
10800,10.8,12677
3985.95,5.39,6327
12250,7.05,8276
6402.33,13.26,15565
44570,16.38,19227
19200,4.8,5634
8750,5.06,5940
3556.86,6.89,8088
5095.28,13.01,15266
10743.16,8.09,9490
8112,6.24,7325
56250,15.12,17748
17500,10.5,12325
1254.38,2.3,2694
14720,7.36,8639
25760,7.36,8639
12250,8.64,10142
14568.75,8.33,9772
16380,9.36,10987
11287.5,6.45,7571
3657.7,9.01,10576
5267.5,3.01,3533
20400,5.1,5987
2415,1.84,2160
4957.96,10.97,12877
2592.49,4.85,5687
7140,7.14,8381
7456.68,5.5,6456
17290,9.88,11598
20212.5,5.78,6785
3595.74,7.14,8381
30590,8.74,10259
3218.31,7.25,8510
1673.59,3.75,4402
90000,22.5,26411
13200,2.64,3099
6867,3.92,4606
33000,8.25,9684
21850,8.74,10259
3402.19,8.22,9643
11025,6.3,7395
23625,6.75,7923
2745.52,5.83,6843
5116.83,11.48,13470
49500,9.9,11621
22207.5,9.87,11586
8750,5,5869
5426.05,7.35,8628
13000,10.46,12283
15092,21.56,25308
33120,8.28,9719
3195,0.85,998
2775.47,5.5,6456
4203.78,9.54,11198
18750,5,5869
2746.99,5.88,6902
3569.05,7.6,8915
8750,5.04,5916
35000,10.13,11891
35000,10.2,11973
22275,8.1,9508
2981.18,5.25,6163
4908.97,10.6,12443
16798.53,13.73,16122
5359.96,7,8217
24024,6.86,8053
4131.17,10.54,12366
6580,1.88,2207
2245.56,3.19,3739
27499.5,10.08,11832
9660,5.52,6480
17500,12,14086
17500,10.46,12283
17150,9.8,11504
11515,6.58,7724
9030,5.16,6057
37500,10.2,11973
4832.58,10.97,12871
1323.65,2.94,3451
7072.44,5.88,6902
3932.54,8.93,10477
23625,13.5,15847
13982.5,7.99,9379
5332.09,4,4695
3894.83,9.31,10928
12250,7.56,8874
40000,10,11738
72500,21,24651
25400,6.8,7982
27342,8.82,10353
7148.75,4.09,4795
6664,1.9,2230
2292.18,6.25,7337
6794.17,8.84,10377
11340,6.48,7606
9660,5.52,6480
2311.2,4.59,5388
3432,5.72,6714
7805.76,9.4,11034
8400,3.36,3944
2604.07,5.32,6245
7402.5,4.23,4965
6600,18.97,22263
14878.5,8.5,9980
28800,5.76,6761
3734.6,8,9391
38640,22.08,25918
69000,23,26998
4711.56,8.48,9954
16560,4.14,4860
7651.8,5.89,6909
13982.5,7.99,9379
44550,19.8,23242
3710,5.3,6221
3653.22,11.66,13687
14700,4.2,4930
33817.5,7.52,8827
6318,7.02,8240
2581.48,4.5,5282
7650,1.7,1996
15050,8.6,10095
12863,7.35,8628
40000,10.2,11973
36260,20.72,24322
21262.5,6.08,7137
8966.62,7.5,8804
41850,13.95,16375
34125,13.65,16023
6867,4.58,5374
3375,3.75,4402
46816,9.86,11574
4447.12,4.66,5464
19541.5,4.11,4824
5940,6.6,7747
3527.95,8.1,9508
4101.54,9.44,11075
12600,5.04,5916
5106.41,4.08,4789
35000,10.12,11879
4116,2.94,3451
35000,10.12,11879
2429.65,6.13,7196
9200,4.6,5400
35600,10.4,12208
136686,49.7,58345
3062.96,5.36,6286
3311.75,6.75,7923
87500,50.24,58978
4987.45,7.5,8804
40000,10.07,11821
1581.12,3.43,4026
34545,9.87,11586
2202.2,4.58,5374
5406.13,12.5,14673
117868.8,68.67,80608
37050,9.88,11598
25760,7.36,8639
14080,5.04,5916
32200,9.2,10799
15000,3,3522
15525,6.21,7290
64337,49.49,58093
7400,3.7,4343
16500,3.3,3874
8000,2,2348
5677.94,4.32,5071
22640,5.04,5916
5948.28,15.95,18723
18000,22.5,26411
17500,7.13,8369
159784,33.7,39554
9054.26,7.85,9212
2810.66,6.89,8082
22400,5.6,6574
25900,14.8,17373
15400,8.8,10330
4034.75,8.1,9508
3719.17,7.42,8710
21200,5.4,6339
29400,8.4,9860
12600,5.04,5916
2775.21,5.87,6885
17500,10.12,11879
37500,10.13,11891
26250,7,8217
35000,11.5,13499
9033.75,5.15,6039
9047.5,5.17,6069
3024,7.56,8874
1986.33,4.41,5177
7560,2.16,2535
2360.18,5,5869
3586.11,8.16,9579
22950,6.12,7184
20930,11.96,14039
53760,13.44,15776
4806.67,9.36,10987
2548.71,4.5,5282
7940.17,7.84,9203
15120,8.64,10142
1374.04,3,3522
4872.73,11.48,13470
138010,65.34,76699
6900,4.6,5400
4832.91,5.75,6750
6300,3.6,4226
24500,7,8217
5220.45,10.46,12283
2744.66,5.78,6779
23040,3.84,4508
2182.05,12.75,14966
2270.61,4.25,4989
5000,5,5869
35000,10.13,11891
17920,10.24,12020
14400,3.6,4226
34440,9.84,11551
3723.96,10.34,12132
19980,9.99,11727
22425,8.97,10529
30240,6.72,7888
27675,7.38,8663
8325.29,5.39,6327
23700.5,7.56,8874
6475,3.7,4343
8410.14,9,10565
17500,10,11738
5155,9.5,11151
16100,9.2,10799
20250,5.4,6339
12852,3.67,4308
6600,13.08,15354
12075,6.9,8099
12048.75,6.89,8082
7425,2.97,3486
27965,10.11,11868
28700,8.2,9625
13860,7.92,9297
12750,3.4,3991
32550,18.6,21833
17500,10.12,11879
136686,49.7,58345
4428.44,12.25,14380
6600,20.4,23946
5713.08,14,16434
27370,7.82,9179
19320,5.52,6480
10920,15.6,18312
9691.63,6.87,8061
2806.94,8.09,9490
22680,5.04,5916
1058.9,2.81,3293
16905,9.66,11339
17167.5,9.81,11515
33005,9.43,11069
16038.75,9.17,10758
23625,6.75,7923
5414.92,5.03,5899
44550,9.9,11621
10575,11.75,13793
4928,6.16,7231
17248,4.93,5787
4841.7,6.86,8053
3183.77,6.12,7184
16032,4.01,4707
8085,4.62,5423
4114.35,10.6,12443
27370,7.82,9179
7148.75,4.09,4795
2522.57,4.86,5705
7573.5,4.5,5282
2020.3,4.17,4889
5092.16,10.29,12079
1878.5,3.75,4402
1981.62,5.39,6327
40000,10.2,11973
35000,10.08,11832
2318.45,4.5,5282
14320,5.16,6057
2391.28,4.68,5494
3783.09,5.5,6456
14490,4.83,5670
6240,4.16,4883
3093.63,6.38,7483
4639.8,10.2,11973
3359.37,7.65,8980
2947.49,5.3,6221
7087.5,4.05,4754
40320,10.08,11832
4386.2,8.84,10371
15120,8.64,10142
28273.46,21.17,24850
12250,8.28,9719
1798.73,3.43,4026
8640,1.44,1690
5217.63,4.41,5177
7450,4.3,5048
2019.89,3.75,4402
14040,3.51,4120
86730,49.56,58176
10937.5,6.25,7337
10465,5.98,7020
11602.5,3.32,3897
12017.25,6.87,8061
28980,8.28,9719
4431.63,9,10565
3526.48,7.11,8340
19376,5.54,6503
2387.55,5.1,5987
4169.32,8,9391
6720.1,6.62,7765
4450.16,9.5,11151
11550,4.62,5423
4520.46,10.29,12079
18620,5.32,6245
34776,9.94,11668
1857.52,4.59,5388
20288.5,5.81,6820
6600,15.3,17960
1939.51,3.57,4191
28490,8.14,9555
24150,6.9,8099
16880,6.44,7560
2795.86,6.62,7765
2375.29,5.5,6456
3181.71,7.52,8828
17500,10.12,11879
12005,6.86,8053
4165,2.38,2794
41580,9.24,10846
35000,10.12,11879
14437.5,3.85,4519
61500,12.3,14438
43875,10.08,11832
4326.74,10.78,12654
126500,46,53997
29077.1,7.75,9097
7029.2,10.6,12443
7245,4.14,4860
21168,6.05,7102
9437.94,6.72,7888
1008,0.29,340
16150,6.08,7131
14320,5.16,6057
6600,11.77,13818
971,2.3,2694
9660,5.52,6480
30000,8,9391
6600,19.32,22679
13800.66,10.97,12871
3372.36,7,8217
10413.94,11.04,12959
45162.5,10.07,11821
4179.69,8.67,10177
13860,7.92,9297
3309.5,5.89,6909
4461.57,8.75,10271
3094.33,6,7043
2858.53,6.12,7184
44550,8.91,10459
7200,1.44,1690
9100,5.2,6104
8720.24,7.5,8804
16720,4.18,4907
35000,10.08,11832
4717.49,10.36,12161
33810,9.66,11339
5200,5.2,6104
1351.6,2.8,3287
10465,5.98,7020
17500,10.08,11832
3847.03,7.25,8510
4566.48,9.56,11216
2870.72,7.91,9279
2232.85,5.75,6750
45000,10.02,11762
6240,1.66,1949
4672.03,11.03,12942
9240,5.28,6198
2206.85,4.85,5687
5083.42,11.03,12942
4369.07,10.79,12667
2465.55,2.94,3451
2952.7,6.89,8082
49500,9.9,11621
934.7,3.06,3592
16500,10.14,11899
17500,10.12,11879
6600,13.73,16122
4610.68,9.18,10776
3578.97,6.63,7783
15964.73,11.73,13769
35000,27.31,32058
9720,2.16,2535
9450,3.78,4437
11025,3.15,3698
28980,8.28,9719
4261,5.75,6750
8400,2.1,2465
14560,8.32,9766
14720,3.68,4320
18240,4.56,5353
6600,17.09,20055
4212.23,9.18,10776
21168,6.05,7102
6000,6,7043
5022.5,3.52,4132
24255,6.93,8135
4077.28,9.25,10858
4899.48,9,10565
27800,8.55,10036
6957.19,7.54,8851
8135.86,5.88,6902
14630,8.63,10130
200000,80.5,94494
19110,5.46,6409
17480,8.74,10259
16500,10.12,11879
4577.31,6.86,8053
27000,7.2,8452
5880,11.76,13804
6772.94,6.36,7466
18000,3.6,4226
35000,10.12,11879
5372.33,11.39,13370
49140,28.08,32961
1350,0.68,798
12880,3.68,4320
28700,8.2,9625
20120,5.04,5916
11058.85,10.79,12667
17500,10.97,12871
4574.74,6.58,7724
10904.82,9.8,11504
3210.76,3.6,4226
32665,9.9,11621
1080,0.29,340
11103.75,6.35,7448
1498.68,3.57,4191
16500,10.46,12283
17200,14.95,17543
12000,4,4695
4544.91,8.1,9508
22545,6.01,7055
28800,5.76,6761
3993.4,8.42,9878
6210,2.07,2430
24570,7.02,8240
12560.42,9.16,10748
29785,8.51,9989
20790,5.94,6973
5880.82,12.04,14133
10867.5,6.21,7290
28050,7.48,8780
3108.27,3.12,3662
4513.54,12.08,14174
41580,6.93,8135
3307.11,7.5,8804
25872,7.39,8675
9660,5.52,6480
1390.55,2.75,3228
24150,6.9,8099
10010,5.72,6714
17280,2.88,3381
4586,5.88,6902
14400,3.6,4226
16560,7.36,8639
11445,6.54,7677
3748.89,7,8217
1998.95,4,4695
10980.59,7.42,8710
13552,3.87,4543
1832.74,4.08,4789
172000,139.25,163457
9800,2.8,3287
2636.75,5.87,6885
4507.97,9.69,11375
3968.79,7.42,8710
35000,10.34,12138
2615.86,4.85,5687
8478.75,4.85,5687
3862.84,9.44,11075
6600,16.58,19456
33300,7.4,8686
5941.42,13.23,15530
14504,8.29,9729
30800,8.6,10095
12337.5,7.05,8276
102600,20.52,24087
