,Project Number,Project Cost
216,2014-651014-Sola,20420
217,2014-648475-Sola,36593
218,4033-46074,36590.4
219,4001-024,33696.56
220,2010-146523-SLPR,179990
221,2011-160111-SLPR,43972
222,2011-373144-SLPR,23489
223,2011-160551-SLPR,60545
224,4006-52449,24300
225,2014-642012-Sola,45216
226,2013-636809-Sola,52759
227,2014-649264-Sola,53968
228,2014-664342-Sola,29400
229,2014-660976-Sola,53550
230,2014-663358-Sola,17403
231,2011-157649-SLPR,40800
232,2012-478874-Sola,36216.8
233,2014-661014-Sola,14094
234,2013-530302-Sola,40732
235,2014-649661-Sola,50000
236,2011-159849-SLPR,72380
237,2011-159520-SLPR,65590
238,2013-538299-Sola,22678
239,4054-028,28728
240,2014-648200-Sola,42299
241,2013-538759-Sola,20800
242,2013-542492-Sola,20825
243,2014-645288-Sola,26481
244,2011-158550-SLPR,44505.5
245,2013-630981-Sola,154090.43
246,2011-159134-SLPR,41391
247,2011-156910-SLPR,64293
248,2013-536984-Sola,34000
249,2011-156332-SLPR,52592.8
250,2014-658985-Sola,57204
251,2014-664051-Sola,32522
252,2014-645735-Sola,32890
253,2012-448317-SLPR,40000
254,2012-518035-Sola,32064
255,2011-160788-SLPR,42394
256,2014-660328-Sola,29970
257,2011-156401-SLPR,18656.4
258,2011-159202-SLPR,25200
259,2014-640684-Sola,18840
260,4006-100254,24721
261,2011-160983-SLPR,66528
262,2013-539831-Sola,22860
263,2014-654662-Sola,34905.6
264,2011-159894-SLPR,42560
265,2011-160145-SLPR,63323
266,4089-016,33525
267,2010-146364-SLPR,53460
268,2010-148862-SLPR,40581.6
269,2011-160493-SLPR,74000
270,2011-156631-SLPR,43473.5
271,2010-145793-SLPR,65036
272,2014-658823-Sola,32500
273,2013-536956-Sola,29302
274,2013-533670-Sola,61223
275,2012-456114-SLPR,204173
276,2012-518037-Sola,42232
277,2014-649592-Sola,70012
278,2013-539524-Sola,38870
279,2011-158609-SLPR,41108
280,2013-537816-Sola,27122
281,2011-159803-SLPR,56350
282,2013-542485-Sola,57575
283,2014-647960-Sola,46675
284,4061-122,29840
285,4005-009,80177.27
286,2011-157888-SLPR,82340
287,2014-645227-Sola,43750
288,2011-156382-SLPR,22000
289,2011-157805-SLPR,28223
290,2014-661201-Sola,17403
291,2011-160014-SLPR,71500
292,2013-531878-Sola,51000
293,4089-34160,52500
294,4056-027,52403
295,2011-390631-SLPR,41777.5
296,2013-534016-Sola,24990
297,2011-157036-SLPR,79800
298,2011-160340-SLPR,33156
299,2013-615491-Sola,47361
300,2014-644860-Sola,29790
301,2014-654977-Sola,32089
302,2014-654730-Sola,22000
303,2014-666018-Sola,42400
304,4030-115,27739
305,4003-22699,38570
306,2011-160297-SLPR,61942
307,2013-523799-Sola,51723
308,2011-159007-SLPR,42768
309,2014-662815-Sola,34807
310,2012-465731-Sola,5676.4
311,2012-468332-Sola,49942
312,2011-158769-SLPR,50000
313,2012-518551-Sola,35521
314,4108-010,53000
315,2010-147703-SLPR,15691
316,2013-538440-Sola,37440
317,2011-157817-SLPR,12084
318,2011-158653-SLPR,70986
319,2013-528323-Sola,51942.81
320,2011-158568-SLPR,54549
321,2011-158629-SLPR,28275.5
322,2011-160481-SLPR,63650
323,2014-655460-Sola,37485
324,2013-538511-Sola,52282
325,4086-022,25141
326,2014-664210-Sola,41870
327,2013-635319-Sola,15759
328,2013-624654-Sola,69333.33
329,2011-156691-SLPR,54000
330,4001-50142,18211
331,2011-156527-SLPR,63333.3
332,2011-157994-SLPR,42000
333,2010-147404-SLPR,39953.3
334,2014-665379-Sola,29681
335,2013-539411-Sola,41125
336,2011-158724-SLPR,57057
337,2011-438209-Sola,36850
338,2012-490529-Sola,16806
339,2011-159864-SLPR,56350
340,4006-44174,63470
341,2012-500231-Sola,28310
342,2011-160543-SLPR,54992
343,2014-646689-Sola,50000
344,2014-654781-Sola,27713
345,2012-488120-Sola,100000
346,2013-531631-Sola,29462.7
347,2010-145765-SLPR,60909
348,2011-158706-SLPR,38475
349,4028-22718,27810.24
350,2013-524710-Sola,31467
351,2012-486496-Sola,35600
352,2014-665745-Sola,25436
353,2014-663618-Sola,54888
354,2012-471252-Sola,46147
355,2011-156468-SLPR,60000
356,2013-528860-Sola,39015
357,2014-648883-Sola,26254
358,2014-644838-Sola,28800
359,2009-105787-SLPR,
360,2014-663285-Sola,26730
361,2011-160429-SLPR,42150
362,2014-645831-Sola,56885
363,2013-531812-Sola,35100
364,2013-532999-Sola,18240
365,2013-533587-Sola,20346
366,4030-110,29114
367,2013-555440-Sola,60025
368,2014-649082-Sola,38250
369,2011-156822-SLPR,34860
370,2014-645987-Sola,35495
371,2014-640154-Sola,35006
372,2013-530582-Sola,29400
373,2012-487834-Sola,41523.3
374,2013-540637-Sola,88620
375,2011-158458-SLPR,32775
376,2014-662849-Sola,19082.5
377,2011-367136-SLPR,29952
378,2012-470619-Sola,22862
379,2014-660385-Sola,69615
380,2013-555421-Sola,26950
381,2014-661343-Sola,45517
382,2014-646232-Sola,12500
383,2012-505451-Sola,41665
384,2013-542129-Sola,20825
385,2011-156255-SLPR,41228
386,2013-625341-Sola,16116
387,2011-159996-SLPR,67725
388,2014-655603-Sola,54888
389,2014-660708-Sola,28113
390,2010-148108-SLPR,28101.5
391,2014-655634-Sola,52913
392,2011-422944-Sola,59100
393,2013-529095-Sola,22032
394,4001-35874,8735.53
395,2014-660695-Sola,20000
396,2011-373138-SLPR,36000
397,2014-666116-Sola,38823
398,2013-532637-Sola,47593
399,2013-535319-Sola,38823
400,2011-150222-SLPR,30613.85
401,2011-390936-SLPR,66700
402,2013-608172-Sola,36627
403,2011-157774-SLPR,26655.8
404,2013-635378-Sola,37600
405,2013-624581-Sola,25704
406,2013-535910-Sola,30302.29
407,2012-487437-Sola,27174
408,2014-638985-Sola,42299
409,2014-655282-Sola,18961
410,2011-156999-SLPR,34719
411,2014-661028-Sola,58905
412,4003-048,45998
413,2013-528425-Sola,33820
414,2014-636977-Sola,41172
415,2011-157962-SLPR,57500
416,2014-666202-Sola,21840
417,2012-463929-Sola,48300
418,2014-654897-Sola,48133
419,2011-157956-SLPR,65000
420,4006-020,45880
421,2011-414556-Sola,57960
422,2011-432479-Sola,50752
423,4054-002,40320
424,2013-520501-Sola,36380
425,2010-145113-SLPR,23265
426,2013-538655-Sola,17150
427,2013-538257-Sola,35250
428,4003-038,33548
429,2011-157413-SLPR,44150
430,2014-661503-Sola,53550
431,2014-666096-Sola,42308.97
432,2011-158398-SLPR,59760
433,2014-648485-Sola,36500
434,2013-536459-Sola,12794.43
435,2014-662944-Sola,48312
436,2011-157421-SLPR,27000
437,2011-391531-SLPR,26747
438,2013-539069-Sola,46233
439,4089-034,56035
440,4003-23646,28940
441,2011-156722-SLPR,28900
442,2011-159526-SLPR,69216
443,2014-640265-Sola,28687.5
444,2013-632951-Sola,29302
445,2015-690669-Sola,13757
446,2011-157599-SLPR,52000
447,2010-147502-SLPR,30427
448,2011-160765-SLPR,44730
449,2010-146529-SLPR,50094
450,2013-531582-Sola,53266
451,2014-649607-Sola,35006
452,2011-158357-SLPR,30680
453,2011-158494-SLPR,27664
454,2014-655707-Sola,41501
455,2011-157823-SLPR,56000
456,2011-160126-SLPR,179750
457,2014-666191-Sola,14000
458,2011-156863-SLPR,32690
459,2014-658850-Sola,53550
460,2014-655088-Sola,34402.5
461,2012-456808-Sola,49000
462,2011-158106-SLPR,45466
463,2014-637084-Sola,50225
464,2014-653648-Sola,25277
465,2011-160585-SLPR,53775
466,4054-22577,30158
