,Project Number,Project Cost
17460,4154-65741,49470
17461,4116-40804,38859
17462,4355-89171-GJ,69848
17463,4611-67612,49573
17464,4154-63155,64825
17465,4158-141,17490
17466,4116-102037,37800
17467,4333-19301,77756
17468,4548-56294,96032
17469,4354-68715,31895.73
17470,4362-64089,615978
17471,4156-40847,25884
17472,4355-94878-GJH,42915
17473,4161-21060,18258
17474,4376-76392YY,243099.01
17475,4116-26446,321774.92
17476,4643-28484,10746
17477,4643-28409,35024
17478,4354-71881-GJ,34191.17
17479,4354-61056,22963
17480,4117-43570,21090
17481,4629-48248-GJ,39700
17482,4354-69659-GJ,20875.9
17483,4247-73626,22400
17484,4464-65618,26056
17485,4548-27588-AG,86000
17486,4202-19740,33276
17487,4429-22575,63576
17488,4355-60486,38015
17489,4555-76671-GJ,24115
17490,4629-56737,52174
17491,4149-76667-GJ,41016.97
17492,4493-26235,44600
17493,4375-19474,490768
17494,4116-101,190350
17495,4116-100248,18600
17496,4323-20592,272463.23
17497,4629-79509YY,19016.8
17498,4116-150,170100
17499,4354-35632,16575
17500,4630-81699,26965
17501,4493-43442,19296
17502,4564-51202,22871
17503,4643-33732,43732.5
17504,4533-88168,23385.44
17505,4533-57294,17500
17506,4116-36295,121800
17507,4533-79003,33976.8
17508,4355-62544-GJ,36904
17509,4627-39534,28200
17510,4362-38118,189762
17511,4362-35785,603900
17512,4548-33157,113046
17513,4301-40562,55280
17514,4362-48426,21840
17515,4629-96369-GJ,31113
17516,4502-39900,23037.12
17517,4643-32240,24990
17518,4493-26597,37428
17519,4548-49588,704550
17520,4611-24129,66225
17521,4224-30015,15000
17522,4643-31990,56253
17523,4493-52176,26851
17524,4170-20160,27720
17525,4147-72759,174636
17526,4564-37036,30684
17527,4362-35749,445500
17528,4116-61528,17226.4
17529,4202-28338,143639.6
17530,4473-43576-GJ,37884
17531,4548-49590,704550
17532,4260-26695,32400
17533,4211-40445,15200
17534,4170-086,448600.92
17535,4355-69131-GJ,19772
17536,4604-97241,22258
17537,4156-71515,19995
17538,4154-53018,36562
17539,4116-26662,301665
17540,4116-99936,27081.6
17541,4375-21101,392373
17542,4443-46509,31212
17543,4116-59452,27900
17544,4533-95647,24780.6
17545,4156-62659,25100
17546,4170-175,27335
17547,4555-79628,62097
17548,4154-56749-GJ,43532
17549,4224-27980,35000
17550,4154-92869-GJ,33175
17551,4564-52502,34129
17552,4502-46251,20000
17553,4507-27489,27620
17554,4493-57875-GJ,31640
17555,4170-19580,40250
17556,4502-41964-GJ,19352
17557,4117-054,36740
17558,4611-69122,31060
17559,4564-24860,251632
17560,4281-28725,24600
17561,4635-54511,52800
17562,4611-91570,23250
17563,4594-55546,54522.23
17564,4354-97521,21467.2
17565,4493-48547,32550
17566,4116-131,170032
17567,4149-24753,33606
17568,4156-33913,49024
17569,4116-20699,248400
17570,4548-21424,27830
17571,4548-62357,25987.5
17572,4116-102818,23870
17573,4564-45053,36799.01
17574,4635-70848,22758
17575,4376-26741,57664.15
17576,4548-96175,30618
17577,4170-055,481242.42
17578,4627-76235,9250
17579,4260-97664,24976
17580,4147-39711,46050
17581,4116-27714,217515
17582,4493-31805,36430
17583,4116-87149,21514
17584,4611-26907,64150
17585,4355-86592-GJ,42124
17586,4156-66593,43674
17587,4158-127,27633.61
17588,4629-61858,55099.5
17589,4611-44295,55440
17590,4116-005,59160
17591,4355-48091-GJ,44217
17592,4473-40564-GJ,27600
17593,4355-0362-Financing,17894
17594,4260-22365,79668
17595,4585-30469,30920
17596,4629-77035-GJ,45765.1
17597,4493-34350,21525
17598,4377-003,49220
17599,4119-31039,20700
17600,4354-31376,13950
17601,4362-32224,19920
17602,4355-75572-GJ,40697
17603,4281-31149,17809.97
17604,4604-34798,32566
17605,4643-24748,170591.2
17606,4548-71468,10315
17607,4202-94132,823161.13
17608,4533-66108,47250
17609,4473-75410,11850
17610,4183-70745,37144.8
17611,4116-71527,16933.6
17612,4247-101824,47000
17613,4493-41156,41245.2
17614,4306-83274,31440
17615,4124-058,19970.17
17616,4369-30146,30960
17617,4376-56923-GJ,36172
17618,4116-88883,18239
17619,4116-21676,124200
17620,4629-77701-GJ,24241.8
17621,4183-67081,24864
17622,4116-45104-GJ,2715
17623,4355-58707,49289
17624,4247-67667,21317.92
17625,4627-29861,18620
17626,4533-80747,36465
17627,4183-101669,1852677.3
17628,4376-83848,62756.93
17629,4170-037,81270
17630,4439-29123,23500
17631,4154-63458-GJ,44638
17632,4154-0043-Financing,25629
17633,4564-47388,28048
17634,4355-58878-GJ,34552
17635,4643-29986,38208
17636,4355-73384,53254
17637,4206-20442,25209
17638,4117-43505,37100
17639,4260-41281,24216
17640,4498-46863,650000
17641,4376-52992-GJ,20469.2
17642,4376-92195-GJH,24775.55
17643,4354-69867,38171.8
17644,4376-92119-GJ,30168.44
17645,4362-38582,57420
17646,4465-22720,10304
17647,4260-68673,85698
17648,4116-30802,47775
17649,4247-20474,39000
17650,4376-32931,87238
17651,4521-85507,37616.31
17652,4548-25724,67431
17653,4629-84202-GJ,19845
17654,4493-42856,38394
17655,4590-57593,31246
17656,4376-89459-GJ,45097
17657,4116-31107,28000
17658,02033-029,41402.73
17659,4643-29110,33432
17660,4604-30834,23659.78
17661,4116-23435,31775
17662,4493-39719,29376
17663,4433-60915-GJ,36020
17664,4116-084,174930
17665,4180-19947,36000
17666,4156-19348,169200
17667,4170-24869,33135
17668,4355-67036-GJ,43656
17669,4154-48058-GJ,29799.84
17670,4355-79217-GJ,41321
17671,4124-057,64943.5
17672,4635-66007,21600
17673,4170-010,19629.04
17674,4507-19866,29566
17675,4533-96799,19344
17676,4116-19739,17053
17677,4362-48022,124973
17678,4643-29924,37014
17679,4255-35086,26292
17680,4154-86605,21432
17681,4158-144,25735
17682,4629-92962-GJYY,27552
17683,4158-036,39735
17684,4373-92245,36288
17685,4643-30348,8557
17686,4147-58101-GJ,49125
17687,4238-23666,15215.6
17688,4533-77162,23751
17689,4402-22105,16675
17690,4255-42097,36000
17691,4521-71195,37132.99
17692,4533-87156,25324
17693,4548-81890,49747.5
17694,4443-99246,20358
17695,4376-0129-Financing,23750.83
17696,4375-23019,235160
17697,4183-21134,16848
17698,4635-30641,48725
17699,4235-59317,32000
17700,4355-50627,43716
17701,4119-009,40478.7
17702,4533-61733,41250
17703,4493-27545,37440
17704,4493-33114,27348
17705,4376-47185,61069.86
17706,4355-93806-GJ,36610
17707,4633-40499,22177
17708,4643-33282,59976
17709,4643-30264,35820
17710,4554-46151,42900
17711,4156-36837,17100
17712,4473-35088,43415
17713,4170-22062,33552.36
17714,4533-71203,26250
17715,4534-20800,763759
17716,4354-68805,39095
17717,4493-30627,35750
17718,4493-42919,24300
17719,4139-015,49680
17720,4493-44240,32076
17721,4473-59787-GJ,34500
17722,4443-32133,25200
17723,4173-002,102500.16
17724,4643-32472,47481
17725,4611-57326-GJ,45360
17726,4426-102082,32976
17727,4355-84362-GJ,25782
17728,4281-26877,61110
17729,4493-27799,47300
17730,4158-116,61915
17731,4555-76479,17223
17732,4635-94247,38990
17733,4611-44296,44352
17734,4116-23082,39992
17735,4548-76660-GJ,38880
17736,4376-80074,32012.94
17737,4124-012,34217.62
17738,4376-0321-Financing,43816.3
17739,4493-38824,41290.75
17740,4533-58652,16875
17741,4533-86010,24336
17742,4116-68084,907680
17743,4376-77681-GJ,44155.64
17744,4585-64683,42556.84
17745,4119-31912,38093
17746,4635-28374,19677
17747,4502-81810,44632
17748,4533-79123,86952.6
17749,4206-017,142560
17750,4647-22793,314826.48
17751,4375-19650,405534
17752,4158-078,78867
17753,4533-88436,12636
17754,4521-33672,36400
17755,4354-36923,44642.85
17756,4611-54335,10251
17757,4161-20536,18300
17758,4355-66297-GJ,37755
17759,4473-53294-GJ,44190
17760,4147-83231,30240
17761,4160-69550,42260
17762,4301-61696-GJ,24900
17763,4548-23885,376560
17764,4611-31790,59300
17765,4373-68765,71096
17766,4533-60300,60750
17767,4183-69119,25889
17768,4116-22710,237068
17769,4362-47911,106400
17770,4643-30889,25074
17771,4170-058,426686.4
17772,4643-31595,44064
17773,4375-29832,193126
17774,4158-19412,40230
17775,4376-60347-GJ,39687
17776,4116-88197,28296.8
17777,4116-20500,30360
17778,4116-29208,68770
17779,4627-29445,130460
17780,4578-23551,21188.7
17781,4635-25078,38612
17782,4116-010,40071
17783,4260-48990,72270
17784,4376-60390-GJ,44445
17785,4635-67616,51700
17786,4355-96538-GJ,39589
17787,4443-45112,28400
17788,4473-47074-GJ,56364
17789,4116-52064,17325
17790,4384-41474,35640.01
17791,4555-56240,19705
17792,4116-20740,38812
17793,4202-86114,262263.65
17794,4354-86970,47136.42
17795,4354-34239,28776
17796,4564-48273,31931
17797,4333-21933,43515
17798,4116-067,424830
17799,4362-38073,369600
17800,4533-52817,35184
17801,4116-25905,28843.61
17802,4493-40403-GJ,27000
17803,4611-34800,24360
17804,4175-004,55375
17805,4181-009,45448
17806,02006-017,29700
17807,4244-20668,50422.17
17808,4548-31659,30600
17809,4175-017,45000
17810,4355-61507-GJ,38816
17811,4116-132,170100
17812,4555-87369,30528
17813,4643-31898,39984
17814,4643-31463,23256.01
17815,4627-46093,34000
17816,4116-30935,320775
17817,4362-24156,85540
17818,4247-22703,42000
17819,4355-56847-GJ,36982
17820,4116-52677,15210
17821,4629-0146-Financing,37719
17822,4116-28088,10340
17823,4309-25032,31200
17824,4247-78913,18878.7
17825,02033-008,18618.6
17826,4183-76106,97959
17827,4158-066,48599
17828,4376-94633,43266.03
17829,4521-52474,36653.76
17830,4629-53647-GJ,27300
17831,4170-155,54510
17832,4548-99519,28822
17833,4154-48051,59678
17834,4373-99597,23265
17835,4633-51590,81162.81
17836,4493-23886,39200
17837,4376-53769-GJ,46232.95
17838,4170-158,23492.7
17839,4643-30261,64326.75
17840,4323-79469,103845
17841,4281-72669-GJ,24570
17842,4355-0037-Financing,32541
17843,4635-66718,19700
17844,02029-006,28034.98
17845,4443-61686-GJ,22600.5
17846,4355-77682-GJ,40740
17847,4260-41625,12512.95
17848,4594-50157,23473.28
17849,4493-22278,37426
17850,4355-90869,41000
17851,4116-36891,17500
17852,4355-68962-GJ,43260
17853,4250-62048,36400
17854,4260-70123-GJ,44096
17855,4594-51466,29059.28
17856,4548-34132,252892
17857,4154-71588,42004
17858,4433-62668,38524
17859,4355-53971,29592
17860,4643-32108,33736.5
17861,4355-94034,46222
17862,4604-66768,10329
17863,4116-22166,32778
17864,4502-38666,15523
17865,4116-31137,28000
17866,4183-67598,33280
17867,4629-81633-GJ,34200
17868,4369-23675,79006
17869,4555-67800,29766
17870,4564-49972,20957
17871,4124-052,64200
17872,4493-33155,51000
17873,4633-48531,51548
17874,4564-30861,29543
17875,4443-101571,17706
17876,4502-31983,39615
17877,4355-68926-GJ,41354
17878,4376-46066,33840
17879,4643-27683,43780
17880,4493-47653-GJ,50350
17881,4154-84768,30720
17882,4306-47760,50890
17883,4117-067,55200
17884,4375-31144,234774.53
17885,4355-60215,37042
17886,4554-53856,92736
17887,4443-73394-GJ,40016
17888,4643-27685,42088.5
17889,4376-90426,25527.71
17890,4202-24223,274560
17891,4473-24594,218750
17892,4354-86983,29798.85
17893,4116-36302,24675
17894,4116-31950,14210
17895,4643-29047,18109
17896,4376-89635-GJ,41463.2
17897,4362-36603,112839.34
17898,4550-50707,50346
17899,4433-72969-IRH,38455
17900,4594-76389,52599
17901,4548-93969,18360
17902,4493-56225,27650
17903,4443-76614-GJ,68076
17904,4502-67679-GJ,31412
17905,4116-41751,19500
17906,4533-85519,24830
17907,4211-73452,42579
17908,4161-22701,42328.48
17909,4355-84402-GJ,30964
17910,4575-31826,460900
17911,4255-40733-GJ,55750
17912,4170-112,56780.3
17913,4493-49970-GJ,28152
17914,4376-61579-GJ,44963
17915,4611-95715,27667
17916,4355-70109,36003
17917,4154-93280,43479
17918,4630-34894,43367
17919,4116-52408,37050
17920,4643-27835,44178
17921,4548-79642,26527
17922,4611-33825,15984
17923,4202-68669,50388
17924,4533-72720,14479.92
17925,4633-76056,22890.2
17926,4376-96547,39904.08
17927,4116-097,223020
17928,4533-98933,27328
17929,4493-40991-GJ,43125
17930,4116-97239,21576
17931,4116-19678,26553
17932,4260-24945,37950
17933,4465-24133,27810
17934,4369-26775,22200.69
17935,4333-25088,20970
17936,4183-41721,33147
17937,4473-24651,28265
17938,4116-87118,18286.9
17939,4197-001,44784
17940,4585-82969,23080
17941,4354-95567,36995.61
17942,4362-35633,211200
17943,4154-62433-GJ,39239
17944,4154-0241-Financing,31242
17945,4354-93411,239105
17946,4116-76472,16250.4
17947,4116-39578,25272
17948,4355-75554-GJ,37566
17949,4375-21419,396984
17950,4629-40277,120000
17951,4355-50633-GJ,43553
17952,4643-28939,31044
17953,4629-72712-GJ,33224.8
17954,4170-012,461500
17955,4630-30547,18361
17956,4564-61521,31747.46
17957,4629-89572-GJ,25668
17958,4355-71191-GJ,43876
17959,4354-34876,39576
17960,4390-23847,189500
17961,4629-90977-GJ,42997.5
17962,4643-30658,20298
17963,4355-70555-GJ,46852
17964,4614-38915,97400
17965,4149-57898-GJ,34870
17966,4493-28971,45618
17967,4362-26765,128484
17968,4635-87363,29294
17969,4473-34745,36420
17970,4355-66895-GJ,30599
17971,4116-42717,16250
17972,4402-51418,12600
17973,4355-0075-Financing,35293
17974,4341-21371,59987
17975,4116-99664,16120
17976,4533-102421,26901.54
17977,4643-31259,44982
17978,4629-0020-HA-Financi,30390.65
17979,4533-69425,31500
17980,4629-98384,30527.03
17981,4493-29369,34194
17982,4611-55645,21860
17983,4643-28482,26268
17984,4354-31742,34129.2
17985,4355-81207-GJ,41306
17986,4260-30537,18720
17987,4422-76108,24400
17988,4643-30266,21492
17989,4493-55024,34884
17990,4473-28314,29408.57
17991,4354-68599,36641.6
17992,4335-81657,28952
17993,4493-36576,38188
17994,4630-48714,40682
17995,4521-83344,29343.6
17996,4369-22787,115919
17997,4473-102632,42987
17998,4116-26107,269723.4
17999,4217-002,42820
18000,4594-82212,52000
18001,4148-010,36000
18002,4355-0133-Financing,43765
18003,4564-44292,19158
18004,4643-28001,34626
18005,4611-60565,55911
18006,4354-28716,61456
18007,4376-35339,38944
18008,4355-90390,23342
18009,4493-41320-GJ,52258.5
18010,4643-27999,16716
18011,4375-30621,221769.3
18012,4117-38819,41800
18013,4609-41543-GJ,29478
18014,4376-58887,25381.01
18015,4147-29365,54720
18016,4643-29918,45372
18017,4124-069,44473.23
18018,4362-25702,257466
18019,4548-99911,48840
18020,4149-19590,215000.32
18021,4376-47297-GJ,47430.04
18022,4575-22129,44859
18023,4376-73453YY,449817.51
18024,4548-35713,141600
18025,4493-51440,23473.5
18026,4354-97519,42117.07
18027,4548-25799,133224
18028,4362-48506,83745.76
18029,4135-040,42336
18030,4643-32283,23868
18031,4564-24280,29815
18032,4354-88586,23155.2
18033,4630-65018,36411
18034,4564-42357,26732
18035,4533-100569,17846.4
18036,4629-52262-GJ,23887.5
18037,4238-004,73407.2
18038,4633-102255,30177
18039,4247-99897,24400
18040,4156-20567,44520
18041,4116-20087,169845
18042,4116-25422,158340
18043,4564-48757,15180
18044,4116-97249,26400
18045,4116-31159,100815
18046,4365-001,29400
18047,4355-60797-GJ,27661
18048,4202-30269,71280
18049,4355-84587-GJ,41523
18050,4643-33689,62475
18051,4154-50892-GJ,27539
18052,4154-57805-GJ,45995
18053,4260-37413,14000
18054,4493-65329-GJ,23205
18055,4154-59000-GJ,34918
18056,4160-0189-Financing,35547
18057,4154-92953-GJ,42145
18058,4309-71720,49590
18059,4362-52405,30982
18060,4488-25396,20988
18061,4493-29770,45500
18062,4355-0008-Financing,36717
18063,4629-61334-GJ,23299.25
18064,4633-41762-GJ,33396
18065,4473-46823,35840
18066,4643-26795,40325.4
18067,4550-32698,199080
18068,4116-115,1170100
18069,4362-37121,603900
18070,4443-80749,25728
18071,4373-29372,47150
18072,4629-72785-GJ,33803.2
18073,4355-0059-Financing,37932
18074,4149-019,39195.2
18075,4116-67430,33300
18076,4224-19635,40450
18077,4533-67968,27000
18078,4124-21041,41840
18079,4627-76233,14500
18080,4241-20064,23520
18081,4154-76989,30479
18082,4154-90950,34379
18083,4247-76128,51840
18084,4156-55297,48350
18085,4533-55025,27750
18086,4629-61169-GJ,32260.5
18087,4154-94520-GJ,43864
18088,4235-36117,40429
18089,4548-73630-GJ,32010
18090,4135-025,46080
18091,4493-43838-GJ,40950
18092,4629-53196-GJ,49000
18093,4158-058,46766
18094,4116-37440,17325
18095,4354-70019-GJ,26560.11
18096,4145-28186,62695
18097,4643-31819,66223.5
18098,4493-25145,35880
18099,4493-43865,53000
18100,4629-65208-GJ,46440
18101,4154-63349-GJ,38073
18102,4355-92114-GJ,36847
18103,4148-22998,42984
18104,4183-64778,59368
18105,4243-88257-GJ,61067
18106,4611-25238,60690
18107,4156-41561,28643
18108,4629-84162-GJ,33548.6
18109,4433-53163,38560
18110,4354-65567,218025
18111,4333-19754,44116
18112,4147-70736,45065
18113,4120-20453,336386.78
18114,4493-51816-GJ,24900
18115,4355-92893,93163
18116,4611-64170,21844
18117,4590-66109,39422
18118,4502-34754,17820
18119,02056-049,32164
18120,4354-29093,25725
18121,4629-77877-GJ,40854.95
18122,4170-28724,36140
18123,4633-96166,8413
18124,4502-54842-GJ,30000
18125,4373-49060,25670
18126,4604-100927,10199.92
18127,4323-20707,55200
18128,4564-26628,35710
18129,4643-28009,31044
18130,4355-72768-GJ,44025
18131,4609-20945,23496
18132,4493-26679,46272
18133,4373-39224,25670
18134,4202-35820,51750
18135,4629-55933,20338
18136,4116-66760,54351
18137,4124-20658,34133
18138,4533-76172,18454.8
18139,4548-32920,187348
18140,4116-42040,16500
18141,4611-63368,1999
18142,4376-89892-GJ,56367.75
18143,4629-92767-GJ,55000
18144,4158-20806,83925
18145,4594-68955,63216
18146,4116-66888-GJ,36360
18147,4202-20644,45312
18148,4611-33652,28000
18149,4643-28490,16716
18150,4509-20452,27143
18151,4355-78539-GJ,40471
18152,4116-78223,15949.5
18153,4643-32921,28738.5
18154,4533-98730,54126.5
18155,4493-43507-GJ,45360
18156,4443-24752,30018
18157,4473-55758-GJ,19915
18158,4493-48435-GJ,32000
18159,4116-93290,2085468
18160,4154-67821,32010
18161,4354-45369,30945
18162,4154-94959-GJ,54338
18163,4376-89849,25689.14
18164,4362-34877,382912.2
18165,4376-50115-GJ,43894
18166,4340-62820,21600
18167,4154-87495,25037
18168,4643-32615,39984
18169,4629-58415-GJ,34800
18170,4116-24021,42300
18171,4202-24272,138600
18172,4502-100994,24406
18173,4509-21529,17280
18174,4154-99460,23449
18175,02022-018,23077.5
18176,4643-30650,33432
18177,4318-001,74511
18178,4633-34382,29758
18179,4154-54048,47912
18180,4464-48516-GJ,33600
18181,4630-26035,18610
18182,4154-64339,52590
18183,4116-101795,40799.1
18184,4585-35033,38490
18185,4533-63697,13812.5
18186,4147-028,161920
18187,4124-19780,27133
18188,4362-33411,29962.5
18189,4629-63312-GJ,21600
18190,4533-58859-GJ,15937.5
18191,4116-49888,16200
18192,4611-29289,35701
18193,4533-94679,58344
18194,4564-59026,14381.5
18195,4533-60302,22750
18196,4170-108,50868.75
18197,4116-56238,39060
18198,4611-77349,25214
18199,4116-88434,19790.4
18200,4611-40318,16632
18201,4629-94488-GJ,43812
18202,4281-35735,21980
18203,4116-48251,26682.75
18204,4355-89154-GJ,46634
18205,4255-26169,106802
18206,4116-38419-GJ,48433.4
18207,4355-75494,32076
18208,4443-66107,28272
18209,4594-90330,56000
18210,4633-69001,16787.21
18211,4355-0316-Financing,40603
18212,4643-32243,34986
18213,4502-27873,27850
18214,4643-28617,35820
18215,4355-53391-GJ,47835
18216,4116-69444,32185
18217,4635-32027,37150
18218,4633-40914,32300
18219,4369-28075,39083
18220,4493-28393,22750
18221,4355-71868-GJ,39675
18222,4443-88378,30698
18223,4154-89523-GJ,38279
18224,4202-45147,40463
18225,4493-28344,22434
18226,4355-75492,35771
18227,4629-81581-GJ,38494
18228,4362-57374,30940
18229,4611-69235,24711
18230,4154-66087-GJ,44490
18231,4507-24285,309728.5
18232,4355-25154,224000
18233,4202-23971,89530
18234,4433-50699-GJ,37309
18235,4156-19733,131600
18236,4590-99673,28971
18237,4116-43701,30400
18238,4355-48489-GJ,39798
18239,4443-44345-GJ,30420
18240,4390-76099,85620
18241,4116-99870,20376.3
18242,4219-004,33380
18243,4154-82218,406806
18244,4376-86339-GJ,42643.65
18245,4156-67602-GJ,33825
18246,4355-87458,65949
18247,4533-100795,14961.2
18248,4211-53611,83200
18249,5166-45486,18149.5
18250,4604-57049,27253
18251,4356-20182,253000
18252,4362-43263,30375
18253,4154-53720,29172
18254,4643-27352,30646
18255,4533-76149,29484
18256,4643-31457,19992
18257,4355-81147-GJ,41665
18258,4116-64169,14091
18259,4183-99526,26987
18260,4355-68481-GJ,43456
18261,4116-41184,20424
18262,4439-27397,49750
18263,4362-30752,125496
18264,4116-66579,22837.5
18265,4116-54727,13600
18266,4643-31028,22032
18267,4493-39815,23525
18268,4154-80036,39223
18269,4611-83071,21840
18270,4117-43438,14585
18271,4154-89251,30742
18272,4202-93961,161003.15
18273,4464-33620,29500
18274,4493-46498-GJ,20262.5
18275,4564-52148,24423
18276,4611-81876,46980
18277,4250-32002,30000
18278,4502-61256-GJ,32400
18279,4333-19888,24978
18280,4473-46089,217106
18281,4376-102334,27318.06
18282,4376-32342,139523
18283,4611-47667,44329
18284,4323-19262,36190
18285,4635-34279,58700
18286,4116-100368,23570.83
18287,4119-20481,54325
18288,4355-69344-GJ,39955
18289,4376-92088-GJ,35823.71
18290,4154-54215,31959
18291,4630-81859,6300
18292,4355-82243-GJ,39172
18293,4555-32128,35853
18294,4116-89610,29338.29
18295,4247-101023,17200
18296,4355-57162-GJ,38321
18297,4629-0291-Financing,30179.6
18298,4250-101584,33720
18299,4538-63353,110468
18300,4633-91535,42352
18301,4609-26730,235569.6
18302,4493-27907,32017
18303,4633-101168,22676
18304,4116-23052,35535
18305,4116-21495,38500
18306,4116-76261,33867.2
18307,4564-62252,21885
18308,4533-71118,10013.85
18309,4355-89658,33615
18310,4564-55078,23800.53
18311,4116-46080,34588.75
18312,4116-25074,279552
18313,4633-80859,61271
18314,4493-31673,42163
18315,4633-37354,43562
18316,4304-21766,115433
18317,4362-38120,264000
18318,4355-0163-Financing,35850
18319,4355-96537-GJ,28054
18320,4354-100637,15329.91
18321,4533-83965,66012.7
18322,4635-26476,27330
18323,4260-54719,173052
18324,4643-29800,21492
18325,4119-018,29562
18326,4333-004,33333
18327,4375-23018,300926
18328,4564-26636,33066
18329,4443-60805,12474
18330,4643-28896,46566
18331,4340-38367,38880
18332,4116-81929,15059.8
18333,4116-033,424830
18334,4402-20586,21933.23
18335,4354-72167,17552
18336,4433-51837,50450
18337,4124-037,43349.68
18338,4149-72678-GJ,37285
18339,4611-67526,45303
18340,4116-043,424834
18341,4493-22719,16687
18342,4116-88396,55500
18343,4116-33745,29050
18344,4635-60943,8000
18345,4149-100551,40058
18346,4116-184,170120
18347,4354-62769-GJ,53073.12
18348,4473-90748,76638
18349,4611-23157,36851
18350,4611-42048-GJ,18375
18351,4493-43267-GJ,49703.17
18352,4590-83465,21476
18353,4629-69643-GJ,31502.8
18354,4158-20028,177082
18355,4354-96816,15514
18356,4117-40986,36040
18357,4247-42415,41000
18358,4355-66090-GJ,36843
18359,4135-007,44099.96
18360,4627-32471,28800
18361,4116-43368,27258
18362,4373-76783,35545
18363,4355-58565,35185
18364,4116-32320,24786
18365,4124-027,30240.81
18366,4382-19951,24712
18367,4564-25065,152468
18368,4533-35506,82426
18369,4633-48038,49006
18370,4643-26036,17140.9
18371,4590-78404,30970
18372,4629-78826-GJ,22068.8
18373,4493-30254,32010
18374,4116-26240,240021.6
18375,4362-67124,50457.02
18376,4376-87469-GJ,52574.34
18377,4355-52007-GJ,33868
18378,4117-40226,47536
18379,4548-62651,632448
18380,4550-60638,36261
18381,4184-001,485000
18382,4643-32877,23740.5
18383,4493-54798,44943.75
18384,4116-22848,161616
18385,4116-080,131830
18386,4629-53916-GJ,61580.75
18387,4473-101566,21535
18388,4202-27848,106919.81
18389,4609-45446-GJ,29725
18390,4362-25064,355264
18391,4548-100813,38400
18392,4635-40355,31700
18393,4158-131,41383
18394,4247-85779,33623
18395,4238-41957,30704
18396,4493-26901,18720
18397,4354-73484,11712
18398,4202-28205,211679.2
18399,4493-32717,38136.5
18400,4611-49307,9670
18401,4548-56420,35496
18402,4260-22429,56062
18403,4211-96455,38000
18404,4243-35203,73282
18405,4464-37788,19395
18406,4116-27704,188235
18407,4533-76137,27000
18408,4170-080,34567.5
18409,4633-53243,125159.98
18410,4160-53315,52900
18411,4170-070,30990
18412,4116-19594,170100
18413,4473-73151,76145
18414,4116-26656,227136
18415,4373-30375,48375
18416,4116-37294,21263
18417,4533-85619,26364
18418,4170-21211,23641.7
18419,4244-22788,75411.61
18420,4205-22921,59148.3
18421,4354-97298,88464.6
18422,4116-34728,27300
18423,4493-49362-GJ,25216
18424,4643-32518,24500
18425,4635-50182,19700
18426,4158-095,31360
18427,4376-48643,30244.02
18428,4283-29829,111834
18429,4362-62814,41460
18430,4255-70432,37295
18431,4633-99524,14206
18432,4633-83259,27664
18433,4154-89686-GJ,50369
18434,4643-30020,8358
18435,4564-57163,18939
18436,4533-94704,47085
18437,4161-20590,36000
18438,4575-51578,570000
18439,4116-27802,13500
18440,4633-66142,48515.42
18441,4376-73449,29918.66
18442,4251-39552,33600
18443,4435-21370,13501.9
18444,4160-96368,38820
18445,4633-102896,47074
18446,4255-61195,35011
18447,4343-18382-A,46435
18448,4135-22486,25530
18449,4355-54068,26396
18450,4533-93463,30812
18451,4611-35843,13782
18452,4116-22271,5223
18453,4247-67088,52000
18454,4116-41507,19500
18455,4376-84354-GJ,49464.6
18456,4116-026,187003
18457,4202-44431,56025
18458,4119-59471,52800
18459,4355-89420-GJ,33871
18460,4153-003,19082.5
18461,4548-50125,704550
18462,4433-50254 GJ,24486
18463,4355-73409-GJ,52497
18464,4116-101334,19716
18465,4116-155,170100
18466,4643-28415,42984
18467,4533-62905-GJ,26600
18468,4548-88918,29484
18469,4643-33342,80850
18470,4147-100945,36704
18471,4355-94876-GJ,26572
18472,4355-62349-GJ,40352
18473,4116-191,49668
18474,4354-99737,446654.97
18475,4354-23658,41496
18476,4629-77030-GJ,26565
18477,4301-35658,38057.02
18478,4493-32003,31134
18479,4202-44429,93375
18480,4158-148,28411
18481,4493-26681,33419
18482,4116-42878,33099
18483,4354-77935,34574
18484,4355-77567,28233
18485,4629-59521-GJ,44500
18486,4643-32007,17493
18487,4362-35739,603900
18488,4627-51587,57400
18489,4149-69779,25480
18490,4158-042,35862
18491,4154-64810,38406
18492,4170-097,58309.5
18493,4116-37758,35000
18494,4548-69117,47300
18495,4301-43071-GJ,27782
18496,4355-0246-Financing,32180
18497,4590-76365,23374
18498,4355-96200-GJ,26035
18499,4404-33938,94427
18500,4243-60817,32801.6
18501,4274-19745,28350
18502,4154-78806-GJ,30599
18503,4355-81110,65922
18504,4202-19575,116089.84
18505,4590-50709,46035
18506,4643-28471,32238
18507,4493-31390,40387
18508,4170-033,130410
18509,4154-63462-GJ,32114
18510,4116-038,424830
18511,4375-27893,291541
18512,4604-35984,32825.23
18513,4376-63253-GJ,26663.47
18514,4548-28058,237820
18515,4183-22184,37786
18516,4575-30249,35250
18517,4202-20846,45847.3
18518,4629-48249-GJ,24000
18519,4221-41585,17264
18520,4533-61432,45000
18521,4376-42099,43048
18522,4170-19838,25274.7
18523,4611-43434-GJ,27424
18524,4202-34667,199500
18525,4643-30350,25074
18526,4116-88638,35488.66
18527,4147-85396,31125
18528,4473-48025,39858
18529,4206-005,50748
