Project Cost,Contractor,Project Status
34528,JOYCE MILILLO,Complete
56255,,Complete
50517.9,LONG ISLAND POWER SOLUTIONS,Complete
26254,VIVINT SOLAR,Complete
37180,VIVINT SOLAR,Complete
62704.6,SUNPOWER REBATE PROGRAM,Complete
43500,SUNPOWER REBATE PROGRAM,Complete
40000,,Complete
55000,SUNWIZE TECHNOLOGIES,Complete
50525,,Complete
177636.36,"altPower, Inc.",Complete
13185,VIVINT SOLAR,Complete
26731,,Complete
43148,,Complete
42960,EMPIRE CLEAN ENERGY SUPPLY,Complete
,,Complete
15309,SOLAR SOLUTIONS OF LONG ISLAND,Complete
37600,INNOVATED ENERGY SOLUTIONS,Complete
19920,SOLAR NET DBA DC POWER SYSTEM,Complete
16080,"SUNRUN, INC",Complete
29452,VIVINT SOLAR,Complete
41986,"SUNPOWER CAPITAL, LLC c/o RESIDENTIAL LEASING",Complete
34100,Hudson Valley Clean Energy,Complete
72930,QUAD STATE SOLAR,Complete
41610,"SUNRUN, INC",Complete
49971,SUNPOWER REBATE PROGRAM,Complete
64178,VIVINT SOLAR,Complete
15836,,Complete
40000,SUNPOWER REBATE PROGRAM,Complete
47750,SUNPOWER REBATE PROGRAM,Complete
37680,,Complete
43223,JOYCE MILILLO,Complete
83140,VIVINT SOLAR,Complete
69300,,Complete
47904,SHARP ELECTRONICS CORP.,Complete
242115.46,AeonSolar,Complete
21879,VIVINT SOLAR,Complete
36250,"solar Intergrated fund II, llc",Complete
52440,MERCURY SOLAR SYSTEMS,Complete
25000,"solar Intergrated fund II, llc",Complete
30600,"MOUND SOLAR OWNER V, LLC",Complete
24307.5,NRG Residential Solar Solutions,Complete
25061.4,"Renovus Energy, Inc",Complete
36103,,Complete
49742,,Complete
13387,VIVINT SOLAR,Complete
56227,VIVINT SOLAR,Complete
29175,"Renovus Energy, Inc",Complete
13566,NRG Residential Solar Solutions,Complete
56500,SUNPOWER REBATE PROGRAM,Complete
44100,SOLARCITY CORPORATION,Complete
57712.5,,Complete
37045,WESCO DISTRIBUTION INC,Complete
83529,BRIGHT POWER INC,Complete
17150,Mound Solar Owner VIII LLC,Complete
39382,VIVINT SOLAR,Complete
63000,,Complete
22790,ISI Solar,Complete
30757,Hudson Valley Clean Energy,Complete
55623.5,,Complete
46530,,Complete
750000,"WIEDERSUM ASSOCIATES, P.C.",Complete
31750,Hudson Valley Clean Energy,Complete
16598.9,"SUNRUN, INC",Complete
73269,,Complete
46383,,Complete
35006,VIVINT SOLAR,Complete
33697,VIVINT SOLAR,Complete
49932,Triangle Electrical Systems,Complete
44298,SUNWIZE TECHNOLOGIES,Complete
54900,,Complete
48133,VIVINT SOLAR,Complete
75068,,Complete
56666,SUNPOWER REBATE PROGRAM,Complete
37854,EMPOWER CES LLC,Complete
21571.2,MERCURY SOLAR SYSTEMS,Complete
75680,,Complete
53500,,Complete
21420,VIVINT SOLAR,Complete
26371,VIVINT SOLAR,Complete
27268,VIVINT SOLAR,Complete
46712,,Complete
22758,VIVINT SOLAR,Complete
24783,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
92880,Hudson Valley Clean Energy,Complete
32448,C&G ELECTRICAL CONTRACTING INC.,Complete
51978,,Complete
18599.2,"Renovus Energy, Inc",Complete
18402.5,"SUNRUN, INC",Complete
53183,SUNPOWER REBATE PROGRAM,Complete
246604.8,BEST ENERGY POWER,Complete
23825.5,,Complete
29815.51,,Complete
26254,VIVINT SOLAR,Complete
27838,Triangle Electrical Systems,Complete
42487,VIVINT SOLAR,Complete
56784,,Complete
12458.25,SUNPOWER REBATE PROGRAM,Complete
55643,,Complete
44450,Triangle Electrical Systems,Complete
57024,THE SUN ENERGY GROUP,Complete
65500,,Complete
56696.2,KPS SOLAR Inc.,Complete
63905,"ETM Solar Works, Inc.",Complete
32500,"VISIGOTH SOLAR 1, LLC",Complete
31500,,Complete
64464,VIVINT SOLAR,Complete
33346.66,SOLAR NET DBA DC POWER SYSTEM,Complete
16044,VIVINT SOLAR,Complete
27560,INNOVATED ENERGY SOLUTIONS,Complete
20000,ENERGY BY CHOICE LTD,Complete
22500,,Complete
33245.57,RH INNOVATION INC,Complete
30590,LONG ISLAND POWER SOLUTIONS,Complete
74778,,Complete
17624,,Complete
58000,SUNPOWER REBATE PROGRAM,Complete
46856,VIVINT SOLAR,Complete
32960,"SUNRUN, INC",Complete
23074,JOSEPH MILILLO,Complete
12448.8,"Renovus Energy, Inc",Complete
47664,Hudson Valley Clean Energy,Complete
24097,VIVINT SOLAR,Complete
28477,WESCO DISTRIBUTION INC,Complete
38700,,Complete
199870,WESCO DISTRIBUTION INC,Complete
14795,"Earthsponse, LLC",Complete
50600,ALTERNATIVE POWER & LIGHT CORP,Complete
23749.13,"Renovus Energy, Inc",Complete
35700,HARVEST POWER,Complete
66150,,Complete
22971,YOU SAVE GREEN INC,Complete
13185,VIVINT SOLAR,Complete
56227,VIVINT SOLAR,Complete
30351,SUNATION SOLAR SYSTEMS INC.,Complete
20955,GREENLOGIC LLC,Complete
67541,Hudson Valley Clean Energy,Complete
73049,,Complete
40176,,Complete
20524,,Complete
43050,,Complete
40162,VIVINT SOLAR,Complete
112358.4,Mercury Solar,Complete
39310,AeonSolar,Complete
29574,LONG ISLAND POWER SOLUTIONS,Complete
134000,T-KAR Smart Energy Systems Electric and Construction Inc.,Complete
31875,"SUNRUN, INC",Complete
44149,SUNATION SOLAR SYSTEMS INC.,Complete
25436,VIVINT SOLAR,Complete
50000,PAFCO INVESTMENTS LLC,Complete
14586,VIVINT SOLAR,Complete
53100,,Complete
82728,"BGT CONSULTING, INC",Complete
25665,"GO SOLAR GRID TIE SYSTEMS, INC.",Complete
30350,ALLIED BUILDING PRODUCT CORP,Complete
89607,GREENLOGIC LLC,Complete
47601,,Complete
67128.8,,Complete
43056,VIVINT SOLAR,Complete
37255,"groSolar (Global Resource Options, Inc.)",Complete
50000,EMPOWER CES LLC,Complete
24492,SUNATION SOLAR SYSTEMS INC.,Complete
38854,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
23500,,Complete
45028,,Complete
50000,"VISIGOTH SOLAR 1, LLC",Complete
16250,SOLARCITY CORPORATION,Complete
21611,,Complete
28554,SUNPOWER REBATE PROGRAM,Complete
30937.5,FJC,Complete
54314,SUNATION SOLAR SYSTEMS INC.,Complete
41482,GREENLOGIC LLC,Complete
27076,"ETM Solar Works, Inc.",Complete
54285,,Complete
31762.5,ABEST ENERGY POWER,Complete
31710,"SUNRUN, INC",Complete
76171,SUNWIZE TECHNOLOGIES,Complete
44465,SUNPOWER REBATE PROGRAM,Complete
31300,"SUNRUN, INC",Complete
40840,VIVINT SOLAR,Complete
40250,,Complete
82935,,Complete
39382,VIVINT SOLAR,Complete
25923,VIVINT SOLAR,Complete
37260,SUNPOWER REBATE PROGRAM,Complete
31195.81,"SUNRUN, INC",Complete
45150,,Complete
41326,,Complete
43355,VIVINT SOLAR,Complete
20081,VIVINT SOLAR,Complete
69237,,Complete
16250,"solar Intergrated fund II, llc",Complete
41470,VIVINT SOLAR,Complete
78000,,Complete
42840,SOLAR NET DBA DC POWER SYSTEM,Complete
43459,COOPER ELECTRIC,Complete
20400,"SUNRUN, INC",Complete
34773,SUNPOWER REBATE PROGRAM,Complete
27216,"Earthsponse, LLC",Complete
33800,,Complete
19400,BG ELECTRICAL SERVICE,Complete
30300,ZERO ENERGY HOMES LLC,Complete
33345,MERCURY SOLAR SYSTEMS,Complete
29670,"Earthsponse, LLC",Complete
12556,YOU SAVE GREEN INC,Complete
49219,GREENLOGIC LLC,Complete
33075,"MOUND SOLAR OWNER V, LLC",Complete
43397,,Complete
27750,SUNWIZE TECHNOLOGIES,Complete
83839,,Complete
29772.8,SUN ENERGY INC,Complete
35525,SOLARCITY CORPORATION,Complete
24745,,Complete
50920,Hudson Valley Clean Energy,Complete
20100,SOLAR DAD AND SONS INC,Complete
58252.5,,Complete
81592.5,,Complete
33449,ALLIED BUILDING PRODUCT CORP,Complete
25918,EASTERN ENERGY SYSTEMS INC,Complete
50102,SUNPOWER REBATE PROGRAM,Complete
24557,LONG ISLAND POWER SOLUTIONS,Complete
27500,SOLARCITY CORPORATION,Complete
54568,VIVINT SOLAR,Complete
78000,,Complete
22475,WESCO DISTRIBUTION INC,Complete
168439.8,"altPower, Inc.",Complete
32215,"Renovus Energy, Inc",Complete
20000,LEVEL SOLAR,Complete
24852,"ETM Solar Works, Inc.",Complete
74210,,Complete
,,Complete
56384,,Complete
27489,"SEQUOIA PACIFIC SOLAR, LLC",Complete
19622,ALLIED BUILDING PRODUCT CORP,Complete
60040,SUNSTREAM USA,Complete
65000,,Complete
32130,VIVINT SOLAR,Complete
46778,"Alteris RPS, LLC",Complete
34807,VIVINT SOLAR,Complete
82285,,Complete
58344,VIVINT SOLAR,Complete
55426,VIVINT SOLAR,Complete
37000,ONTILITY LLC,Complete
59556,SUNPOWER REBATE PROGRAM,Complete
16228.8,"Renovus Energy, Inc",Complete
67433,,Complete
39378,"Solar & Wind FX, Inc.",Complete
36750,GS DIRECT LLC,Complete
42672,,Complete
14000,"SUNRUN, INC",Complete
28816,EMPOWER CES LLC,Complete
42500,"VISIGOTH SOLAR 1, LLC",Complete
32440,SUNRISE ENERGY CONCEPTS INC,Complete
44909,SUNPOWER REBATE PROGRAM,Complete
30030,VIVINT SOLAR,Complete
54796.5,,Complete
30000,"SUNRUN, INC",Complete
38785,SUNPOWER REBATE PROGRAM,Complete
26940,"Renovus Energy, Inc",Complete
28728,"Earthsponse, LLC",Complete
50350,"SUNTECH AMERICA, INC.",Complete
36352,"groSolar (Global Resource Options, Inc.)",Complete
172800,MAJESTIC SON & SONS INC.,Complete
40525,SUNSTREAM USA,Complete
69373.1,,Complete
55944,"SUNTECH AMERICA, INC.",Complete
25380,EMPIRE CLEAN ENERGY SUPPLY,Complete
38450,MAJESTIC SON & SONS INC.,Complete
22032,"SUNRUN, INC",Complete
22711,"groSolar (Global Resource Options, Inc.)",Complete
61012,,Complete
18742,VIVINT SOLAR,Complete
44429,SUNPOWER REBATE PROGRAM,Complete
53650,EASTERN ENERGY SYSTEMS INC,Complete
23100,ZERO ENERGY HOMES LLC,Complete
5740,VIVINT SOLAR,Complete
27500,Mound Solar Owner VIII LLC,Complete
35000,LEVEL SOLAR,Complete
35525,SOLARCITY CORPORATION,Complete
46300,SUNPOWER REBATE PROGRAM,Complete
47040,EMPIRE CLEAN ENERGY SUPPLY,Complete
52977,EMPOWER CES LLC,Complete
46856,VIVINT SOLAR,Complete
49264,SUNPOWER REBATE PROGRAM,Complete
46640,SUNRISE ENERGY CONCEPTS INC,Complete
78500,,Complete
20576,,Complete
29605,ALLIED BUILDING PRODUCT CORP,Complete
20230,,Complete
59722,,Complete
39546,SUNWIZE TECHNOLOGIES,Complete
39004,YOU SAVE GREEN INC,Complete
17560,SOLAR DAD AND SONS INC,Complete
28392,LONG ISLAND POWER SOLUTIONS,Complete
29040,,Complete
67690,,Complete
50973,ALLIED BUILDING PRODUCT CORP,Complete
77800,SUNPOWER REBATE PROGRAM,Complete
36146,VIVINT SOLAR,Complete
405000,ADVANCED ELECTRIC & SOLAR,Complete
39480,,Complete
49896,,Complete
28500.3,ALLIED BUILDING PRODUCT CORP,Complete
62999,VIVINT SOLAR,Complete
39935.02,AeonSolar,Complete
56885,VIVINT SOLAR,Complete
45360,SOLARNET DBA DC POWER SYSTEMS,Complete
61490,,Complete
10850,Sun Run Inc,Complete
55694,PRISTINE POOLS,Complete
47875,SUNATION SOLAR SYSTEMS INC.,Complete
30386.55,"Great Brook Solar NRG, LLC",Complete
65520,,Complete
37975,SOLARCITY CORPORATION,Complete
64800,,Complete
36806.4,LONG ISLAND POWER SOLUTIONS,Complete
41296.73,"Renovus Energy, Inc",Complete
38064,,Complete
25000,"VISIGOTH SOLAR 1, LLC",Complete
34795.8,SUNWIZE TECHNOLOGIES,Complete
30000,"SOLAR INTEGRATED FUND I, LLC",Complete
468250,"Solar Energy Systems, LLC",Complete
47600,,Complete
148500,SOLARWINDEPENDENCE,Complete
52890,SUNSTREAM USA,Complete
44982,GS DIRECT LLC,Complete
29084,SUNPOWER REBATE PROGRAM,Complete
16680,"SUNRUN, INC",Complete
14364,"Earthsponse, LLC",Complete
49959.36,SUNPOWER REBATE PROGRAM,Complete
37800,SUNWIZE TECHNOLOGIES,Complete
15400,"MOUND SOLAR OWNER V, LLC",Complete
28687,"ETM Solar Works, Inc.",Complete
32130,VIVINT SOLAR,Complete
21879,VIVINT SOLAR,Complete
38092,VIVINT SOLAR,Complete
62500,LEVEL SOLAR,Complete
49950,SUNPOWER REBATE PROGRAM,Complete
25517,SUNPOWER REBATE PROGRAM,Complete
65104,COOPER ELECTRIC,Complete
57784,,Complete
30791,VIVINT SOLAR,Complete
27200,SUNPOWER REBATE PROGRAM,Complete
40565,SUNWIZE TECHNOLOGIES,Complete
47038.2,,Complete
39000,SUNWIZE TECHNOLOGIES,Complete
98390,Hudson Valley Clean Energy,Complete
67142,,Complete
52523,GREENLOGIC LLC,Complete
24662,ASTRUM SOLAR INC,Complete
57500,GS DIRECT LLC,Complete
39627,CLEAN ENERGY SOLUTIONS LLC,Complete
20050,,Complete
110000,INNOVATIVE ENERGY SOLUTIONS,Complete
28113,VIVINT SOLAR,Complete
42300,"SUNRUN, INC",Complete
26603.3,,Complete
49115,JOYCE MILILLO,Complete
90425.76,EASTERN ENERGY SYSTEMS INC,Complete
39300,,Complete
56227,VIVINT SOLAR,Complete
47000,"SUNRUN, INC",Complete
32336,ACCORD POWER INC,Complete
25200,INNOVATIVE ENERGY SOLUTIONS,Complete
33300,,Complete
39352.7,ABEST ENERGY POWER,Complete
27208,NRG Residential Solar Solutions,Complete
43367,,Complete
40000,SUNPOWER REBATE PROGRAM,Complete
18525,NRG Residential Solar Solutions,Complete
44452,,Complete
13800,Sun Mountain,Complete
40469.57,"Renovus Energy, Inc",Complete
60000,,Complete
97726,VIVINT SOLAR,Complete
47974,GREENLOGIC LLC,Complete
40425,SOLARCITY CORPORATION,Complete
70810,EMPOWER CES LLC,Complete
48195,VIVINT SOLAR,Complete
16084,GREENLOGIC LLC,Complete
212000,,Complete
22758,VIVINT SOLAR,Complete
51620,Hudson Valley Clean Energy,Complete
40250,,Complete
46530,,Complete
35934,"ETM Solar Works, Inc.",Complete
105000,SOLARCITY CORPORATION,Complete
56885,VIVINT SOLAR,Complete
38337.3,,Complete
61245,,Complete
61261,VIVINT SOLAR,Complete
,,Complete
49813,VIVINT SOLAR,Complete
17514.4,"Renovus Energy, Inc",Complete
27540,WESCO DISTRIBUTION INC,Complete
29452,VIVINT SOLAR,Complete
26780,"Finger Lakes Renewable Energy, LLC",Complete
74189.8,,Complete
35690,,Complete
43258,SUNSTREAM USA,Complete
30307.5,"Renovus Energy, Inc",Complete
34521,SUNPOWER REBATE PROGRAM,Complete
46650,,Complete
42804.01,Mercury Solar,Complete
,,Complete
54990,,Complete
29026,Quixotic Systems LLC,Complete
22500,"SUNRUN, INC",Complete
50195,SUNPOWER REBATE PROGRAM,Complete
78131,,Complete
28434.3,SUNWIZE TECHNOLOGIES,Complete
47700,INNOVATED ENERGY SOLUTIONS,Complete
30000,,Complete
36720,"Great Brook Solar NRG, LLC",Complete
36260,GO SOLAR/GREEN NY LLC,Complete
47831,"GO SOLAR GRID TIE SYSTEMS, INC.",Complete
28900,ASTRUM SOLAR INC,Complete
24097,VIVINT SOLAR,Complete
50525,LEVEL SOLAR,Complete
12750,LEVEL SOLAR,Complete
42141,AeonSolar,Complete
41563,SUNPOWER REBATE PROGRAM,Complete
36960,NRG Residential Solar Solutions,Complete
56790,GREENLOGIC LLC,Complete
41250,"SolarHouse 1, LLC",Complete
23365.62,"Renovus Energy, Inc",Complete
62400,,Complete
46906,"Alteris RPS, LLC",Complete
19940,,Complete
11668,VIVINT SOLAR,Complete
69207,,Complete
34000,,Complete
31250,SOLARCITY CORPORATION,Complete
22715,"SUNRUN, INC",Complete
23920,VIVINT SOLAR,Complete
20800,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
56615,SUNPOWER REBATE PROGRAM,Complete
37000,,Complete
23219,,Complete
53349,,Complete
41500,SUNWIZE TECHNOLOGIES,Complete
9371,VIVINT SOLAR,Complete
86654,Hudson Valley Clean Energy,Complete
52500,SOLARCITY CORPORATION,Complete
70009,SUNPOWER REBATE PROGRAM,Complete
32900,"SUNRUN, INC",Complete
25436,VIVINT SOLAR,Complete
18742,VIVINT SOLAR,Complete
33013.2,OWENS ELECTRIC INC,Complete
68554,VIVINT SOLAR,Complete
35006,VIVINT SOLAR,Complete
250000,Mercury Solar,Complete
26250,"VISIGOTH SOLAR 1, LLC",Complete
36600,"AMERICAN SOLAR PARTNERS, LLC",Complete
33726,,Complete
49000,SUNSTREAM USA,Complete
38786,SUNRISE ENERGY CONCEPTS INC,Complete
47363,,Complete
75000,,Complete
30750,SUNWIZE TECHNOLOGIES,Complete
26782,"SURE SUSTAINABLE RENEWABLE ENERGIES, LLC",Complete
26250,solar house II llc,Complete
29144,EMPOWER CES LLC,Complete
29250,"ETM Solar Works, Inc.",Complete
45216,VIVINT SOLAR,Complete
41055,WESCO DISTRIBUTION INC,Complete
44600,SUNRISE ENERGY CONCEPTS INC,Complete
27268,VIVINT SOLAR,Complete
31693.12,"Great Brook Solar NRG, LLC",Complete
33424,COOPER ELECTRIC,Complete
14276,,Complete
30791,VIVINT SOLAR,Complete
32089,VIVINT SOLAR,Complete
82000,,Complete
52675,SOLARCITY CORPORATION,Complete
37600,Triangle Electrical Systems,Complete
44436,,Complete
49500,,Complete
26460,"Earthsponse, LLC",Complete
36465,VIVINT SOLAR,Complete
29998,SOLARCITY CORPORATION,Complete
49392,LONG ISLAND POWER SOLUTIONS,Complete
34221,SUNPOWER REBATE PROGRAM,Complete
30774,"Earthsponse, LLC",Complete
41825,,Complete
26100,,Complete
96390,VIVINT SOLAR,Complete
41970,"ETM Solar Works, Inc.",Complete
51000,SUNPOWER REBATE PROGRAM,Complete
49950,,Complete
20818,MERCURY SOLAR SYSTEMS,Complete
34684.71,ISI Solar,Complete
72450,,Complete
196025,"Solar Energy Systems, LLC",Complete
52537,SUNPOWER REBATE PROGRAM,Complete
44600,"ETM Solar Works, Inc.",Complete
19632,GREENLOGIC LLC,Complete
40622,Hudson Valley Clean Energy,Complete
55000,"SOLAR INTEGRATED FUND I, LLC",Complete
360000,ENERGY SYSTEMS & INSTALLATION,Complete
32890,VIVINT SOLAR,Complete
58313,SUNPOWER REBATE PROGRAM,Complete
32761,"Alteris RPS, LLC",Complete
44108,,Complete
49000,SUNWIZE TECHNOLOGIES,Complete
54000,,Complete
,,Complete
54390,,Complete
42530,,Complete
55000,,Complete
95938,SUNPOWER REBATE PROGRAM,Complete
29285,AeonSolar,Complete
22526,COOPER ELECTRIC,Complete
156082,SUNSTREAM USA,Complete
39960.36,"Great Brook Solar NRG, LLC",Complete
30630,VIVINT SOLAR,Complete
14418,NRG Residential Solar Solutions,Complete
26254,VIVINT SOLAR,Complete
53253,VIVINT SOLAR,Complete
58905,VIVINT SOLAR,Complete
16200,NRG Residential Solar Solutions,Complete
42840,VIVINT SOLAR,Complete
10210,VIVINT SOLAR,Complete
40609,WESCO DISTRIBUTION INC,Complete
26650,ENERGY BY CHOICE LTD,Complete
37500,LEVEL SOLAR,Complete
74650,,Complete
35000,SOLARCITY CORPORATION,Complete
60243,VIVINT SOLAR,Complete
63588,,Complete
9175,ENERGY BY CHOICE LTD,Complete
77200,,Complete
35800,,Complete
75440,,Complete
84317,SUNATION SOLAR SYSTEMS INC.,Complete
28819.67,"SUNRUN, INC",Complete
29008,"GO SOLAR GRID TIE SYSTEMS, INC.",Complete
50747,SUNPOWER REBATE PROGRAM,Complete
28113,VIVINT SOLAR,Complete
25092,EMPIRE CLEAN ENERGY SUPPLY,Complete
12000,MAJESTIC SON & SONS INC.,Complete
3460.08,,Complete
42000,"VISIGOTH SOLAR 1, LLC",Complete
23495,GREENLOGIC LLC,Complete
30901,"ETM Solar Works, Inc.",Complete
46800,,Complete
348300,REXEL ENERGY SOLUTIONS,Complete
38991.2,R & B QUALITY ELECTRIC,Complete
80592,,Complete
37399,,Complete
28678,SUNSTREAM USA,Complete
50000,EMPOWER CES LLC,Complete
32169.8,Hudson Valley Clean Energy,Complete
16315,,Complete
28728,"Earthsponse, LLC",Complete
57750,NRG Residential Solar Solutions,Complete
35800,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
57529.9,,Complete
26254,VIVINT SOLAR,Complete
20825,SOLARCITY CORPORATION,Complete
43387.5,,Complete
37845,Hudson Valley Clean Energy,Complete
83160,,Complete
43000,WESCO DISTRIBUTION INC,Complete
42483,SUNPOWER REBATE PROGRAM,Complete
13750,"solar Intergrated fund II, llc",Complete
18870.5,"AMERICAN SOLAR PARTNERS, LLC",Complete
56318,,Complete
42500,ZERO ENERGY HOMES LLC,Complete
27240,NRG Residential Solar Solutions,Complete
40815,SUNATION SOLAR SYSTEMS INC.,Complete
45170,GREENLOGIC LLC,Complete
27268,VIVINT SOLAR,Complete
32648,"MOUND SOLAR OWNER V, LLC",Complete
44962,,Complete
26400,ONTILITY LLC,Complete
44800,"solar Intergrated fund II, llc",Complete
37304,JOYCE MILILLO,Complete
36500,"BLUE SKIES SOLAR,LLC",Complete
35635,,Complete
69702,EASTERN ENERGY SYSTEMS INC,Complete
46680,"Renovus Energy, Inc",Complete
48779,,Complete
39344.75,UR SOLAR POWER LLC,Complete
46675,VIVINT SOLAR,Complete
48570,SUNPOWER REBATE PROGRAM,Complete
37485,VIVINT SOLAR,Complete
32343,GREENLOGIC LLC,Complete
36590,SUNPOWER REBATE PROGRAM,Complete
46000,THISDAY ELECTRONICS USA & HIGH POTENTIAL INC,Complete
31304,JOYCE MILILLO,Complete
31725,NRG Residential Solar Solutions,Complete
13250,"SOLAR INTEGRATED FUND I, LLC",Complete
41470,VIVINT SOLAR,Complete
16454,,Complete
40773,EMPOWER CES LLC,Complete
43100,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
26250,SUNWIZE TECHNOLOGIES,Complete
17500,solar house II llc,Complete
36117,SUNPOWER REBATE PROGRAM,Complete
47450,"WESCO DISTRIBUTION, INC",Complete
29900,GREENLOGIC LLC,Complete
18000,LONG ISLAND POWER SOLUTIONS,Complete
50000,PRISTINE POOLS,Complete
12498.6,,Complete
57240,,Complete
60600,Hudson Valley Clean Energy,Complete
53200,"solar Intergrated fund II, llc",Complete
34230,,Complete
19845,,Complete
25900,,Complete
34764,EMPOWER CES LLC,Complete
76308,VIVINT SOLAR,Complete
39232,,Complete
36984,,Complete
50604,,Complete
,,Complete
33468,VIVINT SOLAR,Complete
22500,LEVEL SOLAR,Complete
,,Complete
34116,WESCO DISTRIBUTION INC,Complete
69200,,Complete
23205,LONG ISLAND POWER SOLUTIONS,Complete
61135,,Complete
20519.68,"Rochester Solar Technologies, LLC",Complete
30000,JOHN HUBLER SOLAR INC,Complete
26442,,Complete
74640,,Complete
40320,MERCURY SOLAR SYSTEMS,Complete
195500,,Complete
67620,,Complete
43920,,Complete
,,Complete
30750,"SUNRUN, INC",Complete
3500,CLEAN ENERGY GROUP,Complete
35352,SOLAR DAD AND SONS INC,Complete
43500,SUNPOWER REBATE PROGRAM,Complete
53169,AeonSolar,Complete
14338,VIVINT SOLAR,Complete
35926,,Complete
26223.95,Mercury Solar,Complete
30729,SUNWIZE TECHNOLOGIES,Complete
50872,VIVINT SOLAR,Complete
20400,LEVEL SOLAR,Complete
41233.5,"BLUE SKIES SOLAR,LLC",Complete
25122,INNOVATED ENERGY SOLUTIONS,Complete
27142,JOYCE MILILLO,Complete
21750,"SUNRUN, INC",Complete
23275,"SolarHouse 1, LLC",Complete
63692,,Complete
30139.2,VIVINT SOLAR,Complete
34000,,Complete
43514.6,,Complete
23000,,Complete
27776,GREENLOGIC LLC,Complete
67069,AeonSolar,Complete
11200,"VISIGOTH SOLAR 1, LLC",Complete
71912,ALL SEASON SOLAR INC,Complete
28560,SUNPOWER REBATE PROGRAM,Complete
50365,HARVEST POWER,Complete
28441,GREENLOGIC LLC,Complete
40677,"SIMPLE RAY,LLC",Complete
23205,"SUNRUN, INC",Complete
25245,,Complete
26600,"VISIGOTH SOLAR 1, LLC",Complete
52509,VIVINT SOLAR,Complete
59920,,Complete
88042.54,NEW YORK POWER AUTHORITY,Complete
16116,VIVINT SOLAR,Complete
10700,,Complete
45504,DC POWER SYSTEMS,Complete
36465,VIVINT SOLAR,Complete
39321,EMPOWER CES LLC,Complete
37287,EMPOWER CES LLC,Complete
35980,Triangle Electrical Systems,Complete
40162,VIVINT SOLAR,Complete
36700,Triangle Electrical Systems,Complete
29302,VIVINT SOLAR,Complete
38823,VIVINT SOLAR,Complete
60025,"MOUND Solar Owner VII, llc",Complete
45997,,Complete
10710,VIVINT SOLAR,Complete
32606,Hudson Valley Clean Energy,Complete
44000,,Complete
21930.75,ALLIED BUILDING PRODUCT CORP,Complete
19000,,Complete
54285,MERCURY SOLAR SYSTEMS,Complete
50604,,Complete
37881,SUNPOWER REBATE PROGRAM,Complete
32215,SUNWIZE TECHNOLOGIES,Complete
55227,,Complete
53798,SUNPOWER REBATE PROGRAM,Complete
34319.2,"Earthsponse, LLC",Complete
32232,VIVINT SOLAR,Complete
35525,SOLARCITY CORPORATION,Complete
11481,VIVINT SOLAR,Complete
49000,"solar Intergrated fund II, llc",Complete
22295,SUNPOWER REBATE PROGRAM,Complete
53968,VIVINT SOLAR,Complete
39175,UR SOLAR POWER LLC,Complete
16080,"SUNRUN, INC",Complete
64006,SUNPOWER REBATE PROGRAM,Complete
12195,"SUNRUN, INC",Complete
36484,,Complete
80028,,Complete
70000,,Complete
32900,"SUNRUN, INC",Complete
60750,Hudson Valley Clean Energy,Complete
55000,,Complete
21450.5,Hudson Valley Clean Energy,Complete
47500,,Complete
44344.5,,Complete
39609,,Complete
73228,Hudson Valley Clean Energy,Complete
35955,SCHUCO USA LP,Complete
63700,,Complete
22721,WESCO DISTRIBUTION INC,Complete
37812,,Complete
11080,SOLAR SOLUTIONS OF LONG ISLAND,Complete
52000,SUNWIZE TECHNOLOGIES,Complete
35378,SUNWIZE TECHNOLOGIES,Complete
49507,"Alteris RPS, LLC",Complete
23518.75,WESCO DISTRIBUTION INC,Complete
40000,"SUNRUN, INC",Complete
,,Complete
27922,SUNPOWER REBATE PROGRAM,Complete
55673,VIVINT SOLAR,Complete
37990,,Complete
22875,ALTERNATIVE POWER & LIGHT CORP,Complete
50477,"Alteris RPS, LLC",Complete
39000,,Complete
53948.6,,Complete
27777.93,"Great Brook Solar NRG, LLC",Complete
26394,COOPER FRIEDMAN ELECTRIC SUPPLY CO IINC,Complete
20925,,Complete
18450,SUNWIZE TECHNOLOGIES,Complete
16116,VIVINT SOLAR,Complete
30600,EMPIRE CLEAN ENERGY SUPPLY,Complete
,,Complete
23506,WESCO DISTRIBUTION INC,Complete
37683,INNOVATED ENERGY SOLUTIONS,Complete
29282,INNOVATED ENERGY SOLUTIONS,Complete
54999,,Complete
35547,SUNWIZE TECHNOLOGIES,Complete
20475,HARVEST POWER,Complete
33839,,Complete
,,Complete
31059.6,ALLIED BUILDING PRODUCT CORP,Complete
46549,,Complete
37500,SOLARCITY CORPORATION,Complete
46891.8,SUNPOWER REBATE PROGRAM,Complete
486470,Hudson Valley Clean Energy,Complete
25000,ENERGY BY CHOICE LTD,Complete
40700,ZERO ENERGY HOMES LLC,Complete
18720,"ETM Solar Works, Inc.",Complete
36597,VIVINT SOLAR,Complete
33347,VIVINT SOLAR,Complete
67500,,Complete
56801,,Complete
