Project Number,$Incentive
2011-159230-SLPR,19320
2013-608163-Sola,3149.13
2014-659150-Sola,1831.52
2011-158023-SLPR,31500
2014-661292-Sola,1737.19
2014-650955-Sola,3024.22
2011-160787-SLPR,35000
2012-475204-Sola,17500
2013-536094-Sola,11336.38
2013-625305-Sola,3173.61
2010-144602-SLPR,14950
4054-023,10480
2011-157830-SLPR,15750
2014-654864-Sola,2677.07
2013-537012-Sola,8947.31
2010-145045-SLPR,14625
4054-23891,9030
2013-528331-Sola,6028.75
2014-655450-Sola,5672.32
2013-538888-Sola,2963.81
2011-156630-SLPR,28800
2012-479094-Sola,11830
2011-159246-SLPR,35225
2012-505110-Sola,14105
2013-542484-Sola,3323.8
2011-157283-SLPR,11400
4030-20125,8750
2014-660955-Sola,2145.68
2011-157602-SLPR,27412.5
2011-160492-SLPR,34615
2014-646308-Sola,3669.93
2014-645770-Sola,3101.18
2014-649631-Sola,5023.07
2011-448226-Sola,7813.75
2014-648194-Sola,2730.21
2014-645196-Sola,4252.91
2011-158111-SLPR,37440
2013-539287-Sola,3120.45
4015-82042,25704
4033-47755,8500
2014-658902-Sola,2306.91
4006-41368,5232
2011-159538-SLPR,35000
2011-158516-SLPR,47500
2011-158624-SLPR,24192
2013-534729-Sola,5594.07
2013-542190-Sola,281.48
2011-390635-SLPR,13860
2011-160141-SLPR,17136
2014-663146-Sola,2754.18
4003-22698,12250
2014-662875-Sola,2984.78
2011-159004-SLPR,35000
2014-646245-Sola,4321.33
2014-639855-Sola,4267.01
2011-230600-SLPR,12950
2010-148360-SLPR,17500
4033-51194,3528
2011-160816-SLPR,33716.5
4025-73624,7320
2013-539964-Sola,3713.86
2011-159717-SLPR,33264
2013-538159-Sola,2842.99
2014-664331-Sola,3076.31
2014-646505-Sola,3420.91
2012-518525-Sola,9003.75
2011-356337-SLPR,12075
2014-640429-Sola,2005.17
2011-159017-SLPR,23677.5
2013-539502-Sola,4420.86
2010-145983-SLPR,7200
4033-45741,6000
4054-19314,8750
2010-145302-SLPR,22477.5
4086-021,15200
2011-432931-SLPR,95040
2010-144972-SLPR,15600
2011-156408-SLPR,60000
2010-146724-SLPR,19980
2013-523737-Sola,9187.5
2011-432929-SLPR,12075
2013-631074-Sola,3111.56
4086-023,10640
2011-160993-SLPR,30506
2014-664785-Sola,1740.9
2012-456406-Sola,24640
2013-531877-Sola,15000
2013-534467-Sola,10242.12
2013-534805-Sola,1236
2014-648859-Sola,2276.13
2014-655015-Sola,2989.98
2014-644952-Sola,3080.05
2010-145766-SLPR,15300
2013-520576-Sola,17500
2010-145790-SLPR,27132
2014-661102-Sola,3868.28
2011-414252-Sola,17500
2012-457739-Sola,17500
2011-159190-SLPR,35000
2011-161039-SLPR,10120
2014-643533-Sola,4148.17
2011-158533-SLPR,8330
2011-158063-SLPR,24000
2013-528274-Sola,17500
2014-663286-Sola,5075.12
2012-500332-Sola,7560
2014-644806-Sola,3206.62
2011-160778-SLPR,12880
2011-159916-SLPR,30870
2013-536149-Sola,13405.91
2010-147261-SLPR,20000
2014-664632-Sola,2524.04
2013-624618-Sola,143247.94
2011-160739-SLPR,19740
2011-160361-SLPR,24948
2013-625428-Sola,3317.97
2013-539991-Sola,4665.75
4089-19702,7245
2014-646208-Sola,4254.7
2012-518043-Sola,17500
2011-160838-SLPR,30745
2014-641695-Sola,2501.28
2010-147686-SLPR,14805
2014-664317-Sola,6390.32
4001-24871,9030
2011-160316-SLPR,32760
2013-542426-Sola,3205.17
2011-158831-SLPR,5062.5
2014-663620-Sola,3204.9
4033-41278,10640
2011-160018-SLPR,17710
2014-645982-Sola,1798.86
2012-490502-Sola,16065
2014-640043-Sola,2715.47
4095-002,164968
2011-157719-SLPR,21000
2012-469374-Sola,35438
2011-230080-SLPR,17307.5
2013-537253-Sola,7919.47
2012-471274-Sola,9156
2014-645989-Sola,1764.1
4054-20710,4410
2011-378718-SLPR,17500
2010-145727-SLPR,12480
2014-664762-Sola,1604.22
4006-40493,7650
2014-663913-Sola,2556.06
2014-645500-Sola,1879.76
2013-539087-Sola,2599.91
2013-555464-Sola,5224.14
2013-528859-Sola,17167.5
2012-487509-Sola,8011.5
2013-555418-Sola,6600
2011-159649-SLPR,28980
2014-662925-Sola,2778.36
2011-150223-SLPR,8050
2011-382567-SLPR,14945
2011-161002-SLPR,23519.1
2012-487839-Sola,17500
4061-23147,31728
2011-160033-SLPR,34615
2014-640258-Sola,5145.39
2013-535475-Sola,5810.03
2014-654693-Sola,4842.15
2013-539623-Sola,5745.13
2011-156998-SLPR,12024
2011-431994-SLPR,42000
2014-661026-Sola,2908.48
2013-538415-Sola,7222.98
2011-158608-SLPR,18018
2011-423532-Sola,17500
2012-475258-Sola,17500
2011-157202-SLPR,21000
2014-659274-Sola,4915.58
2013-533419-Sola,13533.04
2013-537356-Sola,5827.66
2011-422368-Sola,8400
2011-156435-SLPR,14400
2014-662837-Sola,5235.76
2014-661473-Sola,3332.47
2011-159499-SLPR,20944
2013-540688-Sola,7753.27
2014-663066-Sola,1858.16
2011-158457-SLPR,21168
4042-21074,4025
4033-57694,6600
2011-157026-SLPR,44100
2014-653838-Sola,6600
2014-666098-Sola,5224.46
2014-636978-Sola,3673.49
2012-456411-Sola,42240
2014-661101-Sola,4580.63
2013-535919-Sola,4666.07
2011-160394-SLPR,68960
2014-660662-Sola,1431.71
4061-118,14710
2011-158280-SLPR,17250
2011-161121-SLPR,23265
4006-81943,4770
2014-660725-Sola,6600
2014-642120-Sola,4914.75
2011-158742-SLPR,6237
2011-184071-SLPR,31850
2014-647972-Sola,4706.92
2011-158093-SLPR,22545
2013-535964-Sola,8501.56
4033-57161,3328
2013-520613-Sola,10710
2014-660844-Sola,2568.76
4018-006,12800
2011-159953-SLPR,34912.5
2011-157620-SLPR,16125
2012-469563-Sola,20442.5
4033-45904,6750
2013-528391-Sola,13734
2011-156852-SLPR,26640
4022-38028,9907
2011-156685-SLPR,32000
2011-160122-SLPR,29610
4101-86985,2340
2013-534229-Sola,5850
2010-147445-SLPR,14720
2011-158493-SLPR,34615
2012-517514-Sola,13650
2014-646194-Sola,4997.68
2011-158216-SLPR,26640
4001-41961-GJ,9000
2012-458253-Sola,10867.5
2012-461190-Sola,13440
2012-487896-Sola,11375
2014-658958-Sola,1683.53
2013-540053-Sola,4951.91
2014-658844-Sola,1442.39
4089-010,16800
2013-538223-Sola,7192.9
2014-664379-Sola,5142.35
2014-666038-Sola,5741.51
2013-615550-Sola,3916.95
4033-47901,5040
2011-160253-SLPR,31200
4003-024,21560
2011-158869-SLPR,13552
2014-640183-Sola,1038.38
2011-158253-SLPR,33487.5
2011-156880-SLPR,21042
2014-646608-Sola,3232.52
2013-538710-Sola,3565.01
2013-636599-Sola,1891.63
2013-636787-Sola,2766.3
2013-529333-Sola,16500
2011-157483-SLPR,20250
2011-156239-SLPR,6600
2011-161140-SLPR,26674.5
2013-528785-Sola,17500
2014-663756-Sola,761.15
4061-110,31500
2014-643493-Sola,4291.62
2010-145893-SLPR,35568
2013-533282-Sola,8443.05
2014-663421-Sola,2059.24
2014-664219-Sola,1841.05
2012-505062-Sola,14726.25
2014-646727-Sola,5417.28
2014-649577-Sola,3096.37
4022-20101,86940
2014-655483-Sola,2356.56
2011-426644-Sola,13513.5
2011-159750-SLPR,16170
2010-146820-SLPR,28463
2012-475605-Sola,12005
2011-160510-SLPR,23681.5
2011-157334-SLPR,39936
2012-500110-Sola,13387.5
2014-665991-Sola,3836.41
2014-661635-Sola,2556.27
2014-663967-Sola,3624.78
4006-44964,9000
2014-651949-Sola,3417.31
2012-470709-Sola,16905
2011-432854-Sola,15750
2013-536399-Sola,4377.8
4001-29821,10500
2013-538334-Sola,7224.99
2011-156390-SLPR,7920
2014-663568-Sola,2189.1
2014-645520-Sola,2289.02
2011-157561-SLPR,37500
2013-629946-Sola,3600.78
4011-68340,5616
2011-159177-SLPR,19320
2011-158161-SLPR,22500
4054-19803,8820
2014-644780-Sola,2941.89
2013-536352-Sola,6321.01
2011-432276-Sola,17500
2011-438332-Sola,10080
4054-22962,8820
2011-158131-SLPR,19012.5
2011-160628-SLPR,13050
2014-655960-Sola,4309.17
4006-21812,12075
2013-520558-Sola,13734
2011-156315-SLPR,34560
2012-464042-Sola,69300
4056-20484,10683.75
2011-161195-SLPR,35000
4095-020,89100
2011-150334-SLPR,15697.5
4006-013,21128
2014-636942-Sola,2078.51
4030-19864,8750
2014-655366-Sola,5219.71
2013-529197-Sola,124364.51
2013-586534-Sola,2755.01
2012-457644-Sola,17500
4003-063,12280
2011-158331-SLPR,14910
2010-146522-SLPR,13800
2011-157871-SLPR,22500
2011-158416-SLPR,25585
2011-158057-SLPR,20475
2011-157027-SLPR,19200
2011-160087-SLPR,35000
2013-539473-Sola,17200
4089-48389,3425
2013-536609-Sola,6083.76
2012-468255-Sola,46550
4001-021,12580
2014-638547-Sola,2197.69
2014-662866-Sola,1747.9
2014-639891-Sola,1981.95
2014-639389-Sola,4364.87
2014-661468-Sola,4838.36
2014-647040-Sola,1952.87
2014-660400-Sola,4513.02
2014-645872-Sola,840.51
2011-432349-Sola,16721.25
2013-536890-Sola,6121.05
2014-658691-Sola,4002.12
2011-158440-SLPR,35000
2014-648065-Sola,2484.5
2014-663301-Sola,5124.77
2011-158951-SLPR,26600
2010-147793-SLPR,3360
2011-160657-SLPR,46880
2011-158646-SLPR,15785
2011-157213-SLPR,36400
2013-524697-Sola,13734
2013-535936-Sola,10535.33
2011-192299-SLPR,9065
2013-531945-Sola,14395.35
2014-661066-Sola,1825.75
2013-533611-Sola,13224.48
2014-663281-Sola,1791.82
2011-436448-Sola,1680
2014-666180-Sola,3523.36
2014-660686-Sola,2730.11
4006-56797,5494
2011-157209-SLPR,24960
2013-537848-Sola,107577.89
2011-390717-SLPR,5263.81
2011-159198-SLPR,12880
2011-161105-SLPR,18699.5
2014-645457-Sola,4991.4
2014-660742-Sola,3006.59
4030-24029,7245
2011-158802-SLPR,11088
4054-21680,8820
2014-649073-Sola,6600
2013-636757-Sola,5015.3
2011-160218-SLPR,27142.5
2014-644747-Sola,1868.59
2013-542524-Sola,2207.44
2011-158006-SLPR,18281.3
4030-092,13000
2011-161014-SLPR,41580
2013-527031-Sola,17500
2011-436111-Sola,14490
2014-661298-Sola,1118.11
2012-469594-Sola,9047.5
2011-159980-SLPR,33110
2013-528291-Sola,17500
2014-666154-Sola,3687.03
2014-662221-Sola,5810.64
2011-413803-SLPR,6097.95
2013-533988-Sola,6137.09
2014-664681-Sola,2739.97
2011-160557-SLPR,18088
2012-448596-SLPR,7700
2014-664300-Sola,2991.58
2013-534150-Sola,9697.93
2014-664130-Sola,2955.06
2011-158996-SLPR,26775
2010-147760-SLPR,8855
4033-48392,12000
2011-158034-SLPR,21000
2011-346653-SLPR,12416.25
2014-645747-Sola,3662.23
2013-586185-Sola,5289.02
2014-658898-Sola,2938.02
2012-500768-Sola,13195
2010-145083-SLPR,12600
2013-630973-Sola,5469.84
2014-640212-Sola,3940.56
2014-664016-Sola,3868.66
2014-639824-Sola,1090.74
2014-640000-Sola,3877.74
2011-156648-SLPR,14400
2012-475599-Sola,17500
2014-655307-Sola,4683.95
2011-150411-SLPR,8225
2014-655114-Sola,1375
2011-447934-Sola,12880
2013-533631-Sola,6600
2014-638452-Sola,3152.86
2014-642142-Sola,2860.58
2010-145741-SLPR,15980
2011-156798-SLPR,11376
2011-159832-SLPR,25200
4030-020,26600
2014-664435-Sola,4069.51
2011-157493-SLPR,15750
2011-158562-SLPR,14175
2011-156279-SLPR,17280
2010-145928-SLPR,14850
2014-665434-Sola,6322.3
2011-156728-SLPR,33300
2011-160509-SLPR,18492
2011-157903-SLPR,22500
2011-158015-SLPR,37500
2014-662774-Sola,3266.45
2014-658829-Sola,2269.24
2011-158185-SLPR,21000
2013-530672-Sola,12870
2011-159781-SLPR,34650
2014-639936-Sola,3009.63
2011-160100-SLPR,35000
4077-002,8880
2013-532226-Sola,9064.86
2011-159211-SLPR,8400
2011-158164-SLPR,37260
2011-434876-Sola,12600
2011-158313-SLPR,45000
2011-160692-SLPR,33810
2011-158371-SLPR,20160
2011-156746-SLPR,40500
2013-539837-Sola,3630.4
2010-145446-SLPR,14647.5
2011-424167-Sola,14490
2012-475481-Sola,17167.5
4089-37400,7889
2014-665904-Sola,5318.49
2011-158506-SLPR,26600
4022-20104,8741.25
2011-390940-SLPR,8540
2014-658758-Sola,3471.2
2014-655036-Sola,1865.44
2013-533469-Sola,10412.7
2014-645637-Sola,2610.35
2010-146044-SLPR,10340
2013-538760-Sola,3824.74
2013-538346-Sola,3773.13
2011-160580-SLPR,31846
2013-534604-Sola,5384.4
2011-157086-SLPR,17000
2011-156582-SLPR,28800
2011-158407-SLPR,10584
2014-637082-Sola,2663.07
4089-025,23900
2014-666189-Sola,1123.54
2010-148656-SLPR,13860
2013-536910-Sola,7275.84
2012-455974-SLPR,16065
2014-664220-Sola,2868.11
2013-533612-Sola,14640.53
2014-639877-Sola,3520.41
2011-157529-SLPR,11475
2014-664674-Sola,2150.75
2014-650974-Sola,4137.74
2011-158139-SLPR,27300
2011-382744-SLPR,27830
2013-536434-Sola,1460.38
2011-156227-SLPR,3600
2012-468334-Sola,17500
2014-643453-Sola,3126.24
2011-413637-SLPR,13685
2012-487873-Sola,15925
4011-39645,9000
2014-661199-Sola,3062.52
4011-28748,10500
2013-555525-Sola,2327.19
2014-662181-Sola,3331.51
2013-539709-Sola,5982.1
2011-157333-SLPR,40000
2014-660827-Sola,849.64
4030-118,9000
2011-157716-SLPR,20666.3
2014-664468-Sola,4097.29
2011-158425-SLPR,7560
2011-417456-Sola,17272.5
2011-158672-SLPR,21000
2011-382699-SLPR,10867.5
2012-518569-Sola,15015
2011-158872-SLPR,25088
2010-147330-SLPR,18400
4054-009,10480
2013-539112-Sola,2585.95
2013-636769-Sola,3520.03
2013-535967-Sola,1129.83
2014-664050-Sola,4232.93
2012-470598-Sola,6867
2014-653898-Sola,4241.94
2010-146075-SLPR,14100
2013-538441-Sola,2584.09
2013-538619-Sola,9900
2013-632968-Sola,2385.84
2011-160152-SLPR,15750
2011-157643-SLPR,37050
2011-156978-SLPR,44550
2013-533920-Sola,8567.63
4061-090,24000
2011-160542-SLPR,27500
4030-20467,5635
2011-157448-SLPR,31200
2011-157963-SLPR,29962.5
2011-160679-SLPR,19804.5
4061-043,13298
2011-432350-Sola,14560
2011-183667-SLPR,31850
2012-500773-Sola,8032.5
2011-161135-SLPR,15180
2013-533279-Sola,4122.89
2011-371015-SLPR,17500
2013-535712-Sola,8547.37
4003-006,23900
2013-532691-Sola,8705.43
2013-538551-Sola,6780.8
2011-158517-SLPR,47500
2011-371946-SLPR,8050
2013-625340-Sola,4000.7
2011-160337-SLPR,19320
2011-365641-SLPR,7245
4003-051,23630
2011-157590-SLPR,18281.3
2011-160244-SLPR,24955
4001-37093,7475
2014-655817-Sola,2879.29
2011-159930-SLPR,9450
2012-464411-Sola,8400
2013-536839-Sola,2152.99
2013-537457-Sola,7050.98
2011-158204-SLPR,18787.5
2014-645528-Sola,3434.9
2014-648650-Sola,4579.08
2014-663509-Sola,4522.73
2011-161112-SLPR,27499.5
2012-479337-Sola,14875
2014-664230-Sola,2496.86
2011-158695-SLPR,24024
2011-158366-SLPR,18200
2013-533057-Sola,11610.63
2011-159606-SLPR,23625
2014-653776-Sola,2575.53
2012-486790-Sola,17167.5
4061-19311,160000
2013-538182-Sola,3673.38
2013-530591-Sola,15000
4006-85815,2565
2014-637003-Sola,2699.28
2014-646013-Sola,3012.9
2011-159682-SLPR,31500
2011-161086-SLPR,22770
2014-648110-Sola,4678.91
2010-147242-SLPR,13500
2013-542148-Sola,123264.64
2011-160517-SLPR,28980
2013-534002-Sola,7299.55
2013-524448-Sola,12600
2013-531651-Sola,7650
2011-160405-SLPR,16450
2012-471769-Sola,64896
4030-044,35000
2014-659111-Sola,3537.01
2013-539034-Sola,2113.89
2011-156316-SLPR,17280
2013-538850-Sola,6250.56
2013-531371-Sola,9049.37
2010-147120-SLPR,51800
2011-382723-SLPR,9660
2010-144808-SLPR,12650
2011-156532-SLPR,14400
2011-159282-SLPR,35000
2011-160345-SLPR,29292.5
2014-666220-Sola,3648.45
4003-23696,6300
4089-015,110400
2014-664593-Sola,2348.67
2014-654680-Sola,2560.82
2014-663378-Sola,2473.19
2013-536309-Sola,13734.55
2011-158925-SLPR,24150
2011-160904-SLPR,33390
2011-156482-SLPR,8640
2011-156709-SLPR,46875
4054-24125,9048
2011-415201-Sola,13160
2014-665724-Sola,5001.9
2011-160184-SLPR,58430
2010-145513-SLPR,11700
4033-010,10900
2014-658774-Sola,3032.88
2011-156318-SLPR,8820
2010-145851-SLPR,21420
2014-645692-Sola,6600
2011-382726-SLPR,17482.5
4018-26889,2695
2013-534630-Sola,13597.67
2011-158757-SLPR,15246
2013-608171-Sola,3370.57
2013-537350-Sola,10035
2014-643578-Sola,2524.73
2013-534151-Sola,2855.28
2011-447603-Sola,9625
2010-145427-SLPR,21525
4108-003,11075
2011-156900-SLPR,44550
2011-160036-SLPR,14490
2014-645335-Sola,2895
2014-661577-Sola,2199.9
2014-665445-Sola,4386.94
2013-529081-Sola,17500
2011-158334-SLPR,18000
2013-534307-Sola,12246.65
4006-32429,4578
4030-021,35000
4030-21252,12250
2013-539549-Sola,4896.61
2014-644965-Sola,1632.99
2013-538209-Sola,4375.67
4011-49557-GJ,8910
2010-144780-SLPR,9200
2014-662766-Sola,4482.96
2013-540454-Sola,172000
2013-536967-Sola,11477.88
2014-646076-Sola,3959.06
2014-639817-Sola,2763.13
2014-661225-Sola,3283.31
2011-230324-SLPR,9660
2014-651951-Sola,2945.65
2011-160390-SLPR,16125
2012-490714-Sola,17500
2013-609625-Sola,5802.47
4022-32848,70000
4006-52053,7848
2014-646514-Sola,2897.16
2011-157408-SLPR,18000
2013-625383-Sola,55886.05
2012-458269-Sola,7813.75
2013-532228-Sola,5545.61
2011-160367-SLPR,18900
2012-479055-Sola,47775
2012-519573-Sola,17500
2013-534780-Sola,8886.66
4054-29076,6740
2011-157144-SLPR,14000
2010-144963-SLPR,25000
2011-440751-SLPR,87500
2013-538041-Sola,8219.84
2014-648828-Sola,5920.4
2011-157507-SLPR,19500
2013-534656-Sola,8735.67
4015-76082,41520
2011-160504-SLPR,12723.5
2011-156299-SLPR,24480
2014-660797-Sola,2978.4
2014-663205-Sola,5008.3
2014-649469-Sola,4542.55
2011-159645-SLPR,29785
2012-457744-Sola,13475
4042-005,21800
4030-004,20120
2014-649458-Sola,3858.54
2013-636817-Sola,2427.73
2014-663915-Sola,5785.29
2011-373084-SLPR,17500
2014-664411-Sola,2155.61
2012-487868-Sola,12180
2014-664066-Sola,5310.49
2014-662728-Sola,3352.98
2011-158679-SLPR,23625
2011-159440-SLPR,24945
2012-456615-Sola,8575
2011-159775-SLPR,19110
2011-157467-SLPR,17784
2013-536236-Sola,7515.48
2011-160309-SLPR,27965
2012-455973-SLPR,63000
2011-159880-SLPR,12600
2011-157124-SLPR,22800
2011-158779-SLPR,18816
2013-537212-Sola,8759.9
2014-649361-Sola,2840.95
2011-159238-SLPR,31500
4033-28753,9188
2014-642046-Sola,4105.28
2014-658945-Sola,2580.8
2013-533351-Sola,4705.65
2012-470841-Sola,17500
2011-426669-Sola,17500
2010-147085-SLPR,9360
2013-606100-Sola,3229.77
2011-188600-SLPR,35000
2014-662355-Sola,3064.68
2012-502774-Sola,12017.25
4018-65116,8736
2011-390622-SLPR,17500
2011-159943-SLPR,35000
2014-663550-Sola,3670.05
4014-39130,18480
2013-537740-Sola,6210.66
2011-157847-SLPR,9225
2011-159039-SLPR,34807.5
2013-625375-Sola,4179.56
2013-525019-Sola,3430
2014-663117-Sola,3053.18
4006-20848,9660
2011-158945-SLPR,14256
2014-664671-Sola,3762.16
2011-382663-SLPR,16905
2013-533901-Sola,1425.06
2011-156341-SLPR,18000
2010-145552-SLPR,15187.5
2011-158022-SLPR,37500
4003-030,27080
2011-157012-SLPR,25987.5
2011-390619-SLPR,17500
2011-157998-SLPR,23062.5
2014-664416-Sola,3134.04
4033-51408,6750
2014-652856-Sola,3050.9
2011-160250-SLPR,95000
2013-586525-Sola,2398.33
2012-457715-Sola,17500
2011-157363-SLPR,15480
2010-145542-SLPR,17010
2012-475883-Sola,6300
4033-44080,5000
2011-159732-SLPR,10976
2010-144710-SLPR,24675
2014-664654-Sola,3002.77
2011-156774-SLPR,48000
2011-157582-SLPR,10725
2010-147231-SLPR,10080
2013-530365-Sola,15000
2012-457094-SLPR,35180
4061-19889,8750
2011-159479-SLPR,3920
2012-456028-SLPR,28160
2011-156928-SLPR,16650
2014-660591-Sola,2867.56
4018-97684,3528
2011-156269-SLPR,14400
2013-528280-Sola,65000
2013-532126-Sola,9791.67
4089-25307,22680
4056-036,56580
2012-457733-Sola,60900
2014-649652-Sola,1917.8
2011-158072-SLPR,47500
2013-542709-Sola,1628.47
2011-156354-SLPR,36000
2013-633943-Sola,3460.1
2012-464392-Sola,14175
2011-187958-SLPR,5940
2011-157681-SLPR,23250
2013-539634-Sola,4035.23
2013-534667-Sola,5716.82
2011-365513-SLPR,5460
2014-639845-Sola,5045.28
2014-655680-Sola,6600
2010-145897-SLPR,31725
2012-499834-Sola,8575
2014-660848-Sola,2848.49
2013-636697-Sola,2484.98
2011-161087-SLPR,17599.5
2014-649261-Sola,5483.73
2011-159915-SLPR,11270
2013-543211-Sola,3018.95
4054-22157,8820
2011-195542-SLPR,14364
2014-659080-Sola,4322.55
2011-390946-SLPR,7875
2014-655242-Sola,3254.95
2013-534570-Sola,5019.19
4040-20329,12662.5
2014-646110-Sola,2936.7
2014-645218-Sola,2550.02
2014-661306-Sola,2155.54
2011-418162-Sola,10500
2011-158984-SLPR,35000
2011-156352-SLPR,7920
2011-160136-SLPR,35000
4006-006,26880
2012-502615-Sola,17500
2011-157260-SLPR,19240
2014-655147-Sola,6359.96
2013-529267-Sola,16500
2014-646580-Sola,2218.13
2013-635289-Sola,3600.34
2014-640395-Sola,1494.58
2011-230391-SLPR,9660
2014-662990-Sola,3209.81
2013-542203-Sola,5324.12
2011-441489-Sola,17325
2014-664187-Sola,5762.95
2014-662207-Sola,4319.39
2014-643632-Sola,4112.14
2014-663323-Sola,3091.67
2014-645753-Sola,2978.1
2014-651162-Sola,3618.17
2014-644914-Sola,1981.92
2014-648578-Sola,4225.93
2014-639847-Sola,5920.21
2012-456342-Sola,43120
2011-161100-SLPR,17599.5
4011-020,8280
2014-661121-Sola,2781.89
2012-470837-Sola,16100
2014-646638-Sola,2861.16
2014-646251-Sola,3933.06
2011-159568-SLPR,18018
2010-146710-SLPR,12880
2011-161205-SLPR,8820
2010-148519-SLPR,22050
4028-003,20000
4096-19985,23747.5
2012-476875-Sola,17500
2013-539962-Sola,4571.14
2013-520491-Sola,10710
2011-159390-SLPR,30800
2013-626189-Sola,5885.64
2013-531358-Sola,12470.56
4033-52412,6750
2014-648186-Sola,2780.9
2014-666212-Sola,3948.57
2011-159331-SLPR,28350
2011-150641-SLPR,8636.25
2013-538369-Sola,6534
2013-546739-Sola,4741.47
2014-648355-Sola,2063.66
2014-664630-Sola,4154.29
2014-655710-Sola,2397.52
2013-529375-Sola,12622.5
2013-619524-Sola,2880.4
2011-159886-SLPR,4095
2011-423533-Sola,7402.5
2011-159516-SLPR,35552
4061-035,23225
2010-148280-SLPR,17500
2012-458740-Sola,9423.75
2011-159700-SLPR,17710
2014-644946-Sola,4186.05
2011-160496-SLPR,22575
2013-546169-Sola,2615.34
2011-160287-SLPR,25300
2011-159495-SLPR,17640
2011-158819-SLPR,20790
2013-520608-Sola,17500
2010-146052-SLPR,20000
4006-41560,6867
2014-649317-Sola,4030.68
4033-47434,8400
2012-469588-Sola,24050
2013-535560-Sola,10275.65
2014-658803-Sola,4840.49
2014-653545-Sola,4620.85
2013-542600-Sola,3236.96
2013-537312-Sola,8770.06
2013-537643-Sola,8494.22
2014-663414-Sola,2960.04
2011-157198-SLPR,16720
2013-528784-Sola,17500
2011-157828-SLPR,19635
2010-145730-SLPR,18400
4095-25892,87500
2013-536060-Sola,13976.84
2011-160724-SLPR,32000
2011-159745-SLPR,5512.5
2014-647979-Sola,2348.76
2011-158965-SLPR,33600
2011-159022-SLPR,10125
4005-024,15400
2013-615518-Sola,4439.03
2010-146307-SLPR,24103.78
2010-145181-SLPR,22032
2011-160466-SLPR,29896.5
2011-160561-SLPR,35000
2013-624593-Sola,4404.2
2014-656930-Sola,3801.25
2014-646605-Sola,2375.1
2011-160783-SLPR,29970
2014-646778-Sola,6600
2013-534525-Sola,7208.48
2011-159721-SLPR,17150
2013-538145-Sola,4664.77
2013-530217-Sola,9222.25
2010-145771-SLPR,66240
2010-145774-SLPR,21420
2010-144125-SLPR,23030
2014-640421-Sola,2856.96
2014-662749-Sola,5540.33
2010-146019-SLPR,16560
2011-161007-SLPR,33862.5
2011-160395-SLPR,14000
2011-158284-SLPR,14820
4054-19806,8820
2010-145343-SLPR,9315
2011-156416-SLPR,24000
2011-156280-SLPR,33120
2011-191180-SLPR,17325
2011-382585-SLPR,9660
2011-158001-SLPR,27750
2010-145356-SLPR,25000
2011-160593-SLPR,30500
2014-661284-Sola,2473.05
2013-540086-Sola,2982.52
2014-654974-Sola,990.09
4101-83282,2520
2014-664321-Sola,2468.05
4011-23839,12250
2014-646474-Sola,4293.57
2011-448220-Sola,17500
2013-555480-Sola,4820.93
4030-20049,19845
4056-020,42750
2011-157104-SLPR,24480
2011-157035-SLPR,39900
2014-646002-Sola,4002.42
2012-500222-Sola,17500
2014-658932-Sola,1724.92
2014-664731-Sola,2162.01
2011-432908-Sola,17500
2014-658887-Sola,3349.29
2014-655456-Sola,5607.2
2013-536513-Sola,11678.96
2010-146405-SLPR,7740
2011-161078-SLPR,14850
2013-542526-Sola,2117.39
2011-157772-SLPR,10920
2011-157289-SLPR,40000
2014-665373-Sola,872.78
2011-378704-SLPR,10867.5
2012-456364-Sola,38720
2014-648962-Sola,3769.88
2011-157556-SLPR,20475
2011-429728-Sola,7525
2013-534387-Sola,8560.88
2014-645495-Sola,2891.58
2013-539099-Sola,3115.66
2011-414501-Sola,17500
2012-518053-Sola,13734
2011-158461-SLPR,9408
2014-663056-Sola,3100.69
2011-159989-SLPR,27842.5
2014-661107-Sola,2224.85
2012-469600-Sola,10692.5
2011-390966-SLPR,72618
2011-158259-SLPR,22950
2011-160956-SLPR,28595
2014-653819-Sola,3319.84
4033-43126,6240
4108-20706,11809
2012-490498-Sola,12589.5
2013-606911-Sola,3913.68
2011-160968-SLPR,22360
2014-658882-Sola,5259.01
2013-542159-Sola,1779.51
2014-663161-Sola,3349.9
2014-648066-Sola,1236.93
2011-159660-SLPR,24990
2014-660654-Sola,6600
2014-654964-Sola,4125
2013-539971-Sola,5009.47
2014-663908-Sola,2262.82
2011-159986-SLPR,29925
4001-31704,6360
2012-486182-Sola,9240
4006-028,17500
2011-160832-SLPR,34333.5
2014-638480-Sola,5973.53
2010-147681-SLPR,10340
2010-145887-SLPR,20000
2011-448208-Sola,15960
2014-663531-Sola,3780.97
2011-346668-SLPR,4551.65
2010-146549-SLPR,13800
2010-145051-SLPR,25000
2011-156286-SLPR,28728
2013-538481-Sola,3171.63
2013-528382-Sola,16695
2011-159532-SLPR,15246
2014-649218-Sola,3565.3
2011-160265-SLPR,28182.5
2014-664697-Sola,4511.93
2013-528278-Sola,10500
2014-663298-Sola,1490.13
4033-22378,9450
2013-542488-Sola,3535.09
2014-646336-Sola,2299.57
4006-73623,3816
2013-636604-Sola,4000.85
2011-160357-SLPR,24900
4001-23549,9660
2010-145563-SLPR,20000
2011-161171-SLPR,12870
2014-660720-Sola,1289.3
2011-183739-SLPR,21000
